ts_code,circ_mv_yi,prev_close
000626.SZ,43.369992460000006,8.61
000402.SZ,83.08494738,2.78
001309.SZ,719.50152722,447.24
001299.SZ,33.45886759,15.32
002177.SZ,55.07338737999999,8.16
002263.SZ,92.03890990000001,4.9
000534.SZ,228.38648603,45.68
001211.SZ,20.55454921,30.68
000659.SZ,55.28520836,4.3
002418.SZ,64.66100853,5.69
000762.SZ,176.44724938000002,33.88
001269.SZ,44.60109905,23.18
002363.SZ,36.04623308,8.67
002074.SZ,673.81626035,38.81
002733.SZ,111.5809846,30.25
000670.SZ,66.98182268,8.15
002787.SZ,34.56852371,13.78
002988.SZ,88.36941427,35.38
002950.SZ,61.29055034,13.56
003036.SZ,57.270543090000004,26.48
600105.SH,557.02001956,38.1
600103.SH,86.50206574,3.91
600480.SH,130.87139381,10.79
600156.SH,32.77202221,8.15
600482.SH,917.27883122,40.44
600537.SH,48.17720123,4.07
600713.SH,78.03307981,6.05
601010.SH,44.7216,2.42
600876.SH,39.33009132,9.94
600983.SH,85.6112363,11.17
601999.SH,46.60738362,8.46
603026.SH,198.16818352,85.16
603088.SH,58.849975300000004,13.44
603101.SH,41.53632,8.83
603093.SH,117.80372394000001,19.31
603272.SH,38.3627154,37.02
603889.SH,63.41309126,8.75
603200.SH,108.28877156,61.71
605006.SH,60.72489545,10.12
605069.SH,26.165845360000002,12.36
605060.SH,141.04651812,59.03
002328.SZ,57.70706069,10.11
605117.SH,1269.42822863,139.6
605255.SH,141.199648,105.31
002364.SZ,196.00604051000002,35.12
002824.SZ,55.594288080000005,25.27
002580.SZ,85.85390424,18.98
002962.SZ,35.37301525,16.91
600345.SH,115.00363385000001,54.36
600707.SH,251.85441519,7.02
603773.SH,96.91773428,43.14
603933.SH,50.91068425,24.53
000889.SZ,37.83846091,4.35
603950.SH,159.76467716000002,49.37
603777.SH,56.75178097,16.97
