ts_code,close,open,pct_chg
002124.SZ,2.85,2.61,10.0386
000010.SZ,4.19,4.32,1.4528
002321.SZ,2.29,2.44,0.8811
000026.SZ,16.2,17.0,-1.2797
001203.SZ,43.98,43.2,3.0701
002439.SZ,14.6,14.5,2.3843
000612.SZ,13.56,13.78,0.3701
002515.SZ,6.03,6.17,-3.3654
000968.SZ,10.0,10.08,-1.7682
002436.SZ,25.42,24.98,0.7531
002240.SZ,48.48,46.01,8.0695
000688.SZ,45.46,45.16,0.7312
000791.SZ,8.15,8.06,1.875
002080.SZ,51.7,50.53,3.1113
002297.SZ,13.29,13.29,10.0166
002467.SZ,7.73,7.89,-1.7789
002678.SZ,5.91,5.8,1.8966
002876.SZ,29.7,30.99,-2.9412
002902.SZ,30.29,30.62,-1.9106
002943.SZ,54.31,54.83,5.9501
002957.SZ,40.72,42.0,-1.5474
002929.SZ,59.82,59.0,4.9842
002980.SZ,64.14,59.6,9.9983
003018.SZ,37.36,35.5,5.2988
600032.SH,9.8,9.89,0.1021
600152.SH,11.89,10.81,9.9907
600299.SH,15.17,15.1,-0.0659
600337.SH,3.29,3.22,2.1739
600176.SH,32.47,33.07,1.1211
600396.SH,8.03,7.6,10.0
600527.SH,2.75,2.84,-2.1352
600654.SH,4.52,4.46,0.6682
600773.SH,20.65,19.86,6.6632
600815.SH,4.17,4.08,2.2059
600982.SH,5.79,5.99,0.0
603177.SH,12.04,12.18,-0.4959
601908.SH,4.51,4.59,-1.3129
603256.SH,98.0,95.0,9.7424
603350.SH,37.98,38.48,-0.4195
603283.SH,51.05,51.32,1.0891
603738.SH,27.91,28.58,-0.8173
603682.SH,7.01,7.48,1.0086
600166.SH,3.48,3.6,-5.1771
603800.SH,48.41,48.14,0.9172
000402.SZ,3.06,3.07,0.0
603803.SH,15.0,16.79,-1.7038
603897.SH,42.88,40.82,4.918
001299.SZ,18.54,17.0,10.0297
002418.SZ,6.1,6.21,-2.5559
605255.SH,120.15,111.89,3.7206
002364.SZ,42.49,42.0,9.9922
002580.SZ,22.97,22.79,10.0096
