trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit
20260407,000019.SZ,农产品加,深粮控股,7.84,9.96,145284409.0,,3263136630.88,9035876344.32,4.65,80617152.0,103651,103651,0,1/1,1,U
20260407,000062.SZ,其他电子,深圳华强,27.03,10.01,1436498320.0,,28243649081.31,28270929135.84,5.17,124255044.0,95609,100033,2,1/1,1,U
20260407,000652.SZ,综合Ⅱ,泰达股份,4.2,9.95,149844920.0,,6192741907.8,6197410195.2,2.45,94479394.0,94127,94127,0,1/1,1,U
20260407,000695.SZ,电池,滨海能源,12.9,9.97,363673552.0,,2861364015.6,2989602593.1,13.12,42873150.0,104121,104121,0,1/1,1,U
20260407,000703.SZ,炼化及贸,恒逸石化,14.16,10.02,501049008.0,,53835057848.4,54106536979.2,0.95,81666794.0,94612,94951,1,1/1,1,U
20260407,000766.SZ,化学制药,通化金马,21.02,9.99,564779856.0,,20305481454.62,20315718678.08,2.87,99113461.0,104345,104345,0,1/1,1,U
20260407,000830.SZ,化学原料,鲁西化工,16.87,9.97,871893696.0,,32123329832.23,32125861664.96,2.78,63465159.0,134033,134033,0,1/1,1,U
20260407,000890.SZ,环保设备,法尔胜,17.61,9.99,829287312.0,,7387237320.06,7387464876.48,11.26,169925757.0,93000,93330,3,1/1,1,U
20260407,000912.SZ,农化制品,泸天化,5.27,10.02,479218432.0,,8263360000.0,8263360000.0,5.96,20814803.0,104230,133106,1,1/1,1,U
20260407,000919.SZ,化学制药,金陵药业,8.1,10.05,305142064.0,,5036310496.8,5037588676.8,6.25,61651521.0,100548,100548,0,1/1,1,U
20260407,000990.SZ,化学原料,诚志股份,10.24,9.99,397588096.0,,12444023142.4,12444032368.64,3.29,41223168.0,100321,100321,0,1/1,1,U
20260407,002025.SZ,军工电子,航天电器,66.72,10.01,2176888112.0,,30282293069.28,30386021652.48,7.34,204017216.0,133057,133057,0,1/1,1,U
20260407,002037.SZ,化学制品,保利联合,8.49,9.97,189255314.0,,4108171475.34,4108171492.32,4.69,8338878.0,101948,135815,11,1/1,1,U
20260407,002051.SZ,专业工程,中工国际,10.48,9.97,1535094864.0,,12967299274.16,12968045733.12,11.96,16798014.0,93118,134321,31,2/3,1,U
20260407,002092.SZ,化学原料,中泰化学,6.95,9.97,736791168.0,,17900041169.4,18000635664.0,4.24,57571715.0,143021,143021,0,1/1,1,U
20260407,002109.SZ,化学原料,兴化股份,4.46,10.12,284189760.0,,5692163535.46,5692163557.76,5.15,65732818.0,100821,100821,0,1/1,1,U
20260407,002119.SZ,半导体,康强电子,21.11,10.01,595858448.0,,7922245240.0,7922245240.0,7.69,117096747.0,111906,111906,0,1/1,1,U
20260407,002132.SZ,通用设备,恒星科技,4.07,10.0,245380056.0,,5695892374.92,5704286945.28,4.42,113173045.0,100248,100248,0,1/1,1,U
20260407,002181.SZ,出版,粤传媒,11.81,9.96,1011889936.0,,13398883198.24,13712097058.56,7.71,41473389.0,94654,103133,8,1/1,1,U
20260407,002193.SZ,服装家纺,如意集团,5.93,10.02,64778709.0,,1551964316.5,1551973211.5,4.32,55820276.0,95212,95212,0,1/1,1,U
20260407,002274.SZ,化学原料,华昌化工,6.5,9.98,287751088.0,,6096019345.0,6190370160.0,4.84,84135720.0,142942,142942,0,1/1,1,U
20260407,002310.SZ,电力,东方新能,3.11,9.89,618592016.0,,13059044619.87,18657891768.32,4.9,162002898.0,94224,94224,0,1/1,1,U
