trade_date,ts_code,name,skip_reason,n_pool,n_hit,hit_rank,auction_pct,auction_amount_yi,turnover_rate,prev_auction_pct,auction_price_ratio,prev_5d,prev_10d,open_times,fd_amount,first_time,turnover_ratio,close_pct_chg,pnl_close_pct_minus_buy_pct,close_vs_auction_pct
20260401,,,无命中,46,0,,,,,,,,,,,,,,,
20260402,000788.SZ,北大医药,,48,2,1.0,8.993902439024403,0.55896555,1.31172,0.6711409395973256,1.1916666666666667,16.31205673758864,8.072487644151561,0.0,103316720.0,103600.0,11.11,10.061,1.067097560975597,0.9790209790209706
20260402,002560.SZ,通达股份,,48,2,2.0,9.435551811288967,1.18202505,2.009,5.3753475440222465,1.1424802110817942,21.246169560776295,15.4669260700389,2.0,74337062.0,93312.0,18.46,10.0253,0.5897481887110327,0.5388760585065456
20260403,,,无命中,24,0,,,,,,,,,,,,,,,
20260407,,,无命中,27,0,,,,,,,,,,,,,,,
20260408,000919.SZ,金陵药业,,85,1,1.0,4.938271604938271,0.3530985,0.668112,0.0,1.154891304347826,10.95890410958904,22.913505311077387,0.0,61651521.0,100548.0,6.25,10.0,5.061728395061729,4.823529411764707
20260409,603777.SH,来伊份,,110,1,1.0,9.978617248752686,0.39324898,0.762086,1.4901960784313717,1.1924265842349304,7.017543859649122,7.427258805513004,3.0,4944172.0,141215.0,6.05,9.9786,-1.7248752685716795e-05,0.0
20260410,600743.SH,华远控股,,50,2,1.0,7.468879668049788,0.42239533,0.695141,0.4566210045662267,1.177272727272727,26.84210526315791,24.226804123711343,1.0,36991412.0,130755.0,8.04,9.9585,2.4896203319502126,2.316602316602319
20260410,002824.SZ,和胜股份,,50,2,2.0,7.836308228123645,0.45800720799999994,0.840468,-0.3831417624520994,1.1908653846153845,12.267839687194515,29.994340690435738,3.0,4212698.0,104106.0,12.56,10.0131,2.1767917718763545,2.018570851836899
20260413,002418.SZ,康盛股份,,55,1,1.0,3.5149384885764468,0.52935786,0.790868,-0.19342359767891004,1.141472868217054,24.78070175438598,23.69565217391305,1.0,84812864.0,93648.0,12.65,10.0176,6.502661511423553,6.2818336162988135
20260414,,,无命中,52,0,,,,,,,,,,,,,,,
20260415,600664.SH,哈药股份,,46,1,1.0,5.940594059405946,0.72685956,0.674315,0.8174386920980936,1.1567567567567567,4.392764857881137,17.101449275362324,0.0,91483650.0,144104.0,10.19,9.901,3.960405940594054,3.738317757009349
20260416,,,无命中,52,0,,,,,,,,,,,,,,,
20260417,605388.SH,均瑶健康,,68,1,1.0,4.218362282878418,0.35763,0.709011,0.0,1.1459754433833562,22.865853658536594,18.181818181818187,2.0,52460323.0,100042.0,9.96,10.0496,5.8312377171215815,5.595238095238082
20260420,002217.SZ,合力泰,,57,2,1.0,8.582089552238802,1.55018319,0.731811,-0.4098360655737654,1.1975308641975309,5.51181102362206,20.72072072072071,2.0,52854022.0,95318.0,6.92,,,
20260420,002940.SZ,昂利康,,57,2,2.0,7.507660878447409,0.879469,1.12751,1.011235955056189,1.1707452725250278,26.159793814432987,7.317073170731692,1.0,63924784.0,101709.0,21.42,,,
