ts_code,circ_mv_yi,prev_close
002108.SZ,91.93039989,5.58
002628.SZ,41.98581347,5.57
001400.SZ,29.04,193.6
002081.SZ,98.11484138,3.71
002281.SZ,910.6633985200001,116.83
001330.SZ,113.12291237999999,8.23
002203.SZ,384.69136668,17.39
002428.SZ,404.8820875,62.0
002547.SZ,38.00536651,3.44
000037.SZ,37.51713221,11.07
002418.SZ,70.34299522,6.19
001389.SZ,226.73298258000003,149.22
002487.SZ,539.24755135,85.47
002217.SZ,195.08584008,2.68
000936.SZ,73.88300391,8.34
002259.SZ,42.35608143,5.63
002796.SZ,121.4823263,53.35
002706.SZ,102.5021314,11.21
002866.SZ,47.82198033,26.39
002957.SZ,192.46667286000002,45.97
002975.SZ,105.82722231000001,99.97
003018.SZ,93.10337750000001,39.22
002980.SZ,74.13632704999999,73.12
600152.SH,73.54203313,13.9
003031.SZ,382.60825166,112.48
600234.SH,52.29417782,19.92
600208.SH,304.58555286,3.58
600520.SH,44.059383000000004,27.81
600552.SH,141.87995548,15.02
600330.SH,268.0252986,21.73
600641.SH,226.05000757,24.29
600703.SH,665.53509818,13.34
600707.SH,279.47947212,7.79
600727.SH,40.64804308,7.69
600962.SH,54.303691,20.71
601619.SH,150.70707794999998,6.19
603031.SH,124.58531442,57.46
603063.SH,186.41084305,40.63
603083.SH,400.40234713,145.29
603118.SH,119.50855843,15.18
603178.SH,41.18294967,17.42
603629.SH,270.8247488,105.44
603203.SH,120.21647594000001,48.25
603278.SH,41.04530298,12.01
603738.SH,116.42225634,30.17
603773.SH,118.84441686,52.9
603922.SH,38.54592,21.51
603926.SH,46.21388992,20.02
605298.SH,101.9724225,54.75
002802.SZ,24.48817267,16.36
002940.SZ,72.55387288,39.16
600156.SH,37.23545101,9.26
600961.SH,166.07535872,22.09
603052.SH,156.61238455,83.35
603315.SH,59.331832090000006,18.52
600683.SH,88.81923388,11.99
605388.SH,53.2629308,8.87
