ts_code,circ_mv_yi,prev_close
000062.SZ,282.43649081,27.03
000019.SZ,32.63136631,7.84
000703.SZ,538.35057848,14.16
000652.SZ,61.92741908,4.2
000890.SZ,73.8723732,17.61
000766.SZ,203.05481455,21.02
000830.SZ,321.23329832,16.87
000695.SZ,28.61364016,12.9
000919.SZ,50.363104969999995,8.1
002025.SZ,302.82293069,66.72
000990.SZ,124.44023141999999,10.24
000912.SZ,82.6336,5.27
002051.SZ,129.67299273999998,10.48
002109.SZ,56.921635349999995,4.46
002037.SZ,41.08171475,8.49
002092.SZ,179.00041169,6.95
002119.SZ,79.2224524,21.11
002132.SZ,56.958923750000004,4.07
002427.SZ,61.347151780000004,6.23
002408.SZ,182.12260974999998,6.62
002348.SZ,72.73440642,8.05
002310.SZ,130.5904462,3.11
002274.SZ,60.96019345,6.5
002193.SZ,15.519643169999998,5.93
002181.SZ,133.98883198,11.81
002431.SZ,49.92661199,2.77
002442.SZ,29.658305560000002,6.02
002470.SZ,98.57248251,3.0
002491.SZ,162.58799797,13.82
002631.SZ,54.20099164,6.83
002637.SZ,54.36640282,12.28
002663.SZ,28.57291583,2.21
002788.SZ,74.22071491,19.44
002840.SZ,103.08397724999999,12.94
002873.SZ,28.523175209999998,11.9
002957.SZ,141.01104072,33.68
003042.SZ,23.25698504,18.26
600063.SH,148.76875367999997,7.19
600075.SH,116.13009808,6.8
600110.SH,167.09792375,9.63
600158.SH,113.89420105,11.87
600195.SH,88.22720966,8.64
600227.SH,48.80431247,3.82
600250.SH,42.570910080000004,13.61
600259.SH,292.56466734,86.96
600370.SH,101.25944826,2.52
600423.SH,28.83289044,3.61
600527.SH,43.29402255,2.5
600470.SH,36.7728,7.05
600596.SH,155.20366063999998,11.5
600623.SH,183.47619689,9.78
600664.SH,97.46633220000001,3.87
600691.SH,79.3445708,3.34
600722.SH,98.78241696,14.52
600743.SH,46.687407390000004,1.99
600791.SH,53.32778476,11.79
600810.SH,99.02009294,8.99
600955.SH,99.55,18.1
601133.SH,32.01357924,21.43
601388.SH,83.86658167,3.81
603002.SH,121.00617691,10.67
603042.SH,36.6305425,22.81
603090.SH,63.83,63.83
603188.SH,29.249721,5.13
603255.SH,17.83852291,29.4
605018.SH,56.36088858000001,11.99
603988.SH,63.55104,27.02
603968.SH,29.015712,14.19
603778.SH,202.8214283,31.55
603687.SH,90.09521932,16.38
603637.SH,30.38471214,12.73
603421.SH,58.110174529999995,8.91
603353.SH,68.9681646,40.47
603348.SH,67.51825312,21.47
603327.SH,102.14137947,9.77
603260.SH,508.58542602000006,43.02
605099.SH,165.1978774,41.15
605299.SH,94.36763619999999,23.06
605162.SH,56.36329398,14.07
