trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit
20260415,000026.SZ,饰品,飞亚达,17.82,10.0,627411168.0,,6496472262.06,7230714480.0,10.04,35536626.0,132930,135615,3,2/3,1,U
20260415,000785.SZ,一般零售,居然智家,2.7,10.2,349311280.0,,15923502352.8,16813031500.8,2.23,51101741.0,93539,93815,2,1/1,1,U
20260415,000788.SZ,化学制药,北大医药,6.77,10.08,741744976.0,,4034834867.25,4034834860.48,19.4,155694429.0,132157,132157,0,1/1,1,U
20260415,000919.SZ,化学制药,金陵药业,8.26,9.99,591954928.0,,5135793173.28,5137096601.28,11.97,111382093.0,95530,95530,0,1/1,1,U
20260415,001208.SZ,电网设备,华菱线缆,21.4,10.03,926643872.0,,5632699285.8,13660699244.8,16.93,139851268.0,102048,102048,0,1/1,1,U
20260415,001896.SZ,电力,豫能控股,16.57,10.03,4219852288.0,,25282196638.1,25282196604.96,17.45,75347816.0,101957,143103,2,1/1,1,U
20260415,002033.SZ,旅游及景,丽江股份,9.94,9.96,703301696.0,,5461832999.14,5461937597.76,13.25,51015459.0,105006,130657,1,1/1,1,U
20260415,002038.SZ,化学制药,双鹭药业,8.07,9.95,1089549872.0,,6874941694.83,8290714500.0,16.69,104531517.0,112112,112112,0,1/1,1,U
20260415,002361.SZ,塑料,神剑股份,18.54,10.03,5460270592.0,,15001140123.36,17632188455.04,38.16,271306944.0,103845,103921,1,1/1,1,U
20260415,002468.SZ,物流,申通快递,16.39,10.0,158777404.0,,24047407442.74,25089847402.4,0.66,348968406.0,92500,92500,0,1/1,1,U
20260415,002498.SZ,电网设备,汉缆股份,8.5,9.96,1449685232.0,,28277766000.0,28277766000.0,5.21,125480901.0,94309,105757,1,1/1,1,U
20260415,002589.SZ,医药商业,瑞康医药,3.59,10.12,331610960.0,,4902473657.32,5401910565.76,6.88,108408210.0,93439,93439,0,1/1,1,U
20260415,002705.SZ,小家电,新宝股份,17.34,10.03,834157504.0,,14012512956.0,14077925955.84,6.15,80948322.0,130548,130548,0,1/1,1,U
20260415,002787.SZ,包装印刷,华源控股,16.68,10.03,456971200.0,,4184346701.52,5590745554.56,11.11,79231668.0,94357,100248,1,2/4,1,U
20260415,002788.SZ,医药商业,鹭燕医药,15.95,10.0,1091815776.0,,6089611125.95,6196841939.2,18.72,121809527.0,111912,111912,0,1/1,1,U
20260415,002798.SZ,家居用品,帝欧水华,6.67,10.07,132362092.0,,3197745073.5,3669684485.28,4.23,74122315.0,94857,94857,0,1/1,1,U
20260415,002824.SZ,工业金属,和胜股份,29.62,9.99,984461680.0,,6516433766.8,9217117003.84,15.54,81316970.0,100403,112448,4,3/5,1,U
20260415,002891.SZ,饲料,中宠股份,41.84,9.99,926925536.0,,13373454468.72,13373454426.88,7.14,101214432.0,142003,142003,0,1/1,1,U
20260415,003036.SZ,专用设备,泰坦股份,29.7,10.0,388400896.0,,6423471034.2,6423635869.2,6.3,143733090.0,100436,100436,0,2/4,1,U
20260415,600135.SH,塑料,乐凯胶片,11.2,10.02,272931152.0,,6197039508.8,6197039564.8,4.53,62345169.0,95015,95015,0,1/1,1,U
20260415,600267.SH,化学制药,海正药业,11.39,10.05,548437456.0,,13653890022.44,13653890068.0,4.12,65966324.0,95439,95754,1,1/1,1,U
20260415,600488.SH,化学制药,津药药业,6.84,9.97,1582721168.0,,7468504891.2,7468504945.92,22.39,7497324.0,132329,134553,5,8/13,1,U
20260415,600572.SH,中药Ⅱ,康恩贝,4.8,10.09,966306000.0,,12144735782.4,12177096652.8,8.2,83696928.0,132722,132722,0,1/1,1,U
20260415,600594.SH,中药Ⅱ,益佰制药,4.76,9.93,855563600.0,,3769574424.0,3769574462.08,23.65,16813614.0,132733,145203,1,1/1,1,U
20260415,600683.SH,房地产开发,京投发展,9.91,9.99,276090944.0,,7341105986.27,7341106016.0,3.96,22166906.0,131223,131223,0,1/1,1,U
20260415,603063.SH,风电设备,禾望电气,38.03,10.01,2503207808.0,,17448201725.76,17448201725.76,14.49,183878510.0,93455,130031,2,1/1,1,U
20260415,603150.SH,塑料,万朗磁塑,57.53,10.0,194104442.0,,4917836990.0,4917836990.0,4.08,107615618.0,110617,110617,0,1/1,1,U
20260415,603216.SH,家居用品,梦天家居,33.17,10.02,356901808.0,,7386627300.0,7386627300.0,4.98,31100192.0,105707,105707,0,1/1,1,U
20260415,603285.SH,化学制品,键邦股份,34.65,10.0,246763113.0,,2158583427.0,5544000000.0,11.58,26954235.0,95012,103339,1,1/1,1,U
20260415,603327.SH,消费电子,福蓉科技,10.54,10.02,501324800.0,,11019141654.4,11019141654.4,4.62,43884206.0,93733,93839,1,1/1,1,U
20260415,603444.SH,游戏Ⅱ,吉比特,393.34,10.0,1443282592.0,,28336646667.34,28336646667.34,5.16,88501500.0,93843,105519,3,1/1,1,U
20260415,603459.SH,元件,红板科技,68.4,10.0,1710739824.0,,5407147087.2,51556745145.6,32.45,233495917.0,93453,95011,2,1/1,1,U
20260415,603687.SH,包装印刷,大胜达,18.04,10.0,379485840.0,,9922574826.56,9922574970.88,3.82,271649928.0,92500,92500,0,1/1,1,U
20260415,603773.SH,光学光电,沃格光电,49.52,10.0,890186512.0,,11125095506.16,11128958066.16,8.41,63264176.0,103335,103335,0,3/5,1,U
20260415,603815.SH,基础建设,交建股份,6.36,10.03,135433728.0,,3936358134.6,3936358166.4,3.51,83036796.0,93906,93906,0,1/1,1,U
