ts_code,pre_close,price,amount,turnover_rate,auction_pct,auction_amount_yi
600032.SH,9.79,9.89,15048624.0,0.0632767,1.0214504596527174,0.15048624
600152.SH,10.81,10.81,40502908.0,0.708174,0.0,0.40502908
600166.SH,3.67,3.6,26850240.0,0.0942026,-1.9073569482288777,0.2685024
600176.SH,32.11,33.07,159837231.0,0.120738,2.9897228277795174,1.59837231
600299.SH,15.18,15.1,7788580.0,0.0192326,-0.5270092226614009,0.0778858
600337.SH,3.22,3.22,25248020.0,0.545651,0.0,0.2524802
600396.SH,7.3,7.6,56703600.0,0.506618,4.109589041095885,0.567036
600527.SH,2.81,2.84,13937811.0,0.283392,1.0676156583629748,0.13937811
600654.SH,4.49,4.46,58363560.0,0.564677,-0.6681514476614803,0.5836356
600773.SH,19.36,19.86,20624610.0,0.109133,2.5826446280991844,0.2062461
600815.SH,4.08,4.08,12558648.0,0.173503,0.0,0.12558648
600982.SH,5.79,5.99,18282678.0,0.273096,3.4542314335060498,0.18282678
601908.SH,4.57,4.59,38131430.0,0.344052,0.4376367614879584,0.3813143
603177.SH,12.1,12.18,3769710.0,0.151573,0.6611570247933907,0.0376971
603256.SH,89.3,95.0,111311500.0,0.133189,6.382978723404253,1.113115
603283.SH,50.5,51.32,17926076.0,0.12881,1.6237623762376252,0.17926076
603350.SH,38.14,38.48,3801824.0,0.224545,0.8914525432616616,0.03801824
603682.SH,6.94,7.48,16958656.0,0.479831,7.78097982708934,0.16958656
603738.SH,28.14,28.58,23664240.0,0.21457,1.5636105188344018,0.2366424
603800.SH,47.97,48.14,9406556.0,0.0939423,0.3543881592662057,0.09406556
603803.SH,15.26,16.79,62772773.0,0.879935,10.026212319790307,0.62772773
603897.SH,40.87,40.82,14507428.0,0.17216,-0.12233912405186231,0.14507428
605255.SH,115.84,111.89,15586277.0,0.103893,-3.409875690607733,0.15586277
000010.SZ,4.13,4.32,6577632.0,0.178283,4.600484261501214,0.06577632
000026.SZ,16.41,17.0,15267700.0,0.246351,3.595368677635591,0.152677
000402.SZ,3.06,3.07,25601344.0,0.279027,0.32679738562091387,0.25601344
000612.SZ,13.51,13.78,54523036.62,0.331881,1.998519615099914,0.5452303662
000688.SZ,45.13,45.16,17413696.0,0.0325383,0.06647462884996624,0.17413696
000791.SZ,8.0,8.06,37707904.0,0.241701,0.7500000000000062,0.37707904
000968.SZ,10.18,10.08,64500528.96,0.661379,-0.9823182711198419,0.6450052896
001203.SZ,42.67,43.2,14251680.0,0.0252608,1.2420904616826878,0.1425168
001299.SZ,16.85,17.0,26522550.0,0.714355,0.8902077151335286,0.2652255
002080.SZ,50.14,50.53,87416900.0,0.103091,0.777822098125247,0.874169
002124.SZ,2.59,2.61,22613971.77,0.43929,0.7722007722007707,0.2261397177
002240.SZ,44.86,46.01,64964233.59,0.154666,2.5635309852875654,0.6496423359000001
002297.SZ,12.08,13.29,33684036.6,0.442247,10.01655629139071,0.336840366
002321.SZ,2.27,2.44,22776668.0,0.439443,7.488986784140961,0.22776668
002364.SZ,38.63,42.0,720799800.0,3.07504,8.723789800673053,7.207998
002418.SZ,6.26,6.21,88604280.0,1.25555,-0.7987220447284282,0.8860428
002436.SZ,25.23,24.98,91281916.0,0.24192,-0.9908838684106192,0.91281916
002439.SZ,14.26,14.5,52244950.0,0.494524,1.6830294530154388,0.5224495
002467.SZ,7.87,7.89,120236499.0,1.11488,0.2541296060990961,1.20236499
002515.SZ,6.24,6.17,17908425.0,0.239757,-1.121794871794879,0.17908425
002580.SZ,20.88,22.79,189758656.0,1.84074,9.147509578544067,1.89758656
002678.SZ,5.8,5.8,7186780.0,0.0912731,0.0,0.0718678
002876.SZ,30.6,30.99,8596626.0,0.186247,1.274509803921564,0.08596626
002902.SZ,30.88,30.62,55791507.82,1.02575,-0.8419689119170903,0.5579150782
002929.SZ,56.98,59.0,58492600.0,0.470838,3.545103545103556,0.584926
002943.SZ,51.26,54.83,49736293.0,0.622949,6.964494732735083,0.49736293
002957.SZ,41.36,42.0,33999000.0,0.193346,1.547388781431347,0.33999
002980.SZ,58.31,59.6,26075000.0,0.431502,2.2123134968273117,0.26075
003018.SZ,35.48,35.5,15627100.0,0.185435,0.05636978579481866,0.156271
