trade_date,prev_trade_date,ts_code,industry,name,close,pct_chg,amount_x,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit,pre_close,price,amount_y,turnover_rate,auction_pct,auction_amount_yi,circ_mv_yi,prev_5d,prev_10d,high20,high60,pct_rank,turn_rank,amt_rank,pct_pool_size,turn_pool_size,amt_pool_size,pct_rank_ratio,turn_rank_ratio,amt_rank_ratio,auction_new20,auction_new60,daily_close,daily_open,daily_pct_chg,close_vs_auction_pct
20260409,20260408,603272.SH,家居用品,联翔股份,33.13,9.99,90515832.0,,3433162510.0,3433162510.0,2.73,39398196.0,93958,93958,0,1/1,1,U,33.13,34.35,3596445.0,0.101035,3.682463024449145,0.03596445,34.3316251,0.3939393939393909,31.572676727561564,37.0,37.0,9.0,64.0,92.0,100,100,100,0.09,0.64,0.92,False,False,33.65,34.35,1.5696,-2.037845705967985
20260409,20260408,603306.SH,汽车零部件,华懋科技,88.24,10.0,1320481136.0,,29074625122.8,29074625387.52,4.66,21080536.0,140327,144845,7,1/1,1,U,88.24,89.2,12951840.0,0.0440675,1.0879419764279419,0.1295184,290.74625123,16.71957671957671,17.810413885180232,92.68,95.48,31.0,87.0,58.0,100,100,100,0.31,0.87,0.58,False,False,97.06,89.2,9.9955,8.811659192825111
20260409,20260408,603308.SH,通用设备,应流股份,67.0,10.0,1460674800.0,,45495733734.0,45495733600.0,3.26,67406154.0,102039,102706,1,1/1,1,U,67.0,67.8,21472260.0,0.0466393,1.1940298507462588,0.2147226,454.95733734,8.537178033371129,8.537178033371129,69.58,76.94,30.0,85.0,44.0,100,100,100,0.3,0.85,0.44,False,False,68.7,67.8,2.5373,1.3274336283185926
20260409,20260408,603311.SH,家电零部,金海高科,17.41,9.98,140808649.0,,4106738820.87,4106738820.87,3.51,89125272.0,104542,104542,0,1/1,1,U,17.41,17.14,2778394.0,0.0687202,-1.5508328546812167,0.02778394,41.06738821,6.093845216331495,13.939790575916234,17.55,17.55,87.0,76.0,96.0,100,100,100,0.87,0.76,0.96,False,False,17.47,17.14,0.3446,1.9253208868144591
20260409,20260408,603315.SH,环境治理,福鞍股份,14.53,9.99,106372288.0,,4654921815.92,4654921932.16,2.34,82544871.0,101059,101059,0,1/1,1,U,14.53,14.58,2932038.0,0.0627719,0.34411562284928365,0.02932038,46.54921816,5.061460592913947,2.4682651622002894,16.8,17.95,43.0,77.0,94.0,100,100,100,0.43,0.77,0.94,False,False,15.18,14.58,4.4735,4.115226337448557
20260409,20260408,603328.SH,元件,依顿电子,12.28,10.04,743693488.0,,12260875263.08,12260875226.24,6.18,16951066.0,103317,132108,4,1/1,1,U,12.28,12.38,23842642.0,0.19289,0.8143322475570258,0.23842642,122.60875263,11.030741410488233,8.003518029903244,12.96,13.45,35.0,34.0,41.0,100,100,100,0.35,0.34,0.41,False,False,12.7,12.38,3.4202,2.584814216478178
20260409,20260408,603516.SH,计算机设,淳中科技,141.68,10.0,837182768.0,,28799049768.72,28799049768.72,3.01,111728848.0,131631,131631,0,1/1,1,U,141.68,141.99,7383480.0,0.025582,0.21880293619425117,0.0738348,287.99049769000004,2.3625460588107883,-0.3025825065090526,166.5,267.6,46.0,100.0,75.0,100,100,100,0.46,1.0,0.75,False,False,148.23,141.99,4.6231,4.394675681385999
20260409,20260408,603538.SH,化学制药,美诺华,43.24,10.0,729347808.0,,9349939480.32,9533894547.52,7.8,240661430.0,92502,92502,0,7/13,1,U,43.24,46.5,138862950.0,1.38105,7.539315448658646,1.3886295,93.4993948,5.721271393643046,46.875,44.43,44.43,5.0,5.0,6.0,100,100,100,0.05,0.05,0.06,True,True,45.5,46.5,5.2266,-2.1505376344086025
20260409,20260408,603598.SH,广告营销,引力传媒,21.25,9.99,456125760.0,,5724386625.0,5730761540.0,8.23,68027625.0,105932,105932,0,1/1,1,U,21.25,21.0,9382800.0,0.165861,-1.17647058823529,0.093828,57.243866249999996,7.26905603230692,11.959957850368808,21.6,34.48,82.0,42.0,67.0,100,100,100,0.82,0.42,0.67,False,False,20.79,21.0,-2.1647,-1.000000000000004
20260409,20260408,603629.SH,消费电子,利通电子,70.4,10.0,1976427216.0,,18082380800.0,18467328000.0,11.24,111711001.0,102857,102857,0,1/1,1,U,70.4,71.42,42152084.0,0.229782,1.4488636363636287,0.42152084,180.823808,9.589041095890426,23.55212355212357,71.88,71.88,23.0,25.0,24.0,100,100,100,0.23,0.25,0.24,False,False,74.62,71.42,5.9943,4.480537664519747
20260409,20260408,603757.SH,通用设备,大元泵业,49.24,10.01,889186480.0,,9185587033.16,9185587033.16,10.05,51245889.0,130015,130015,0,1/1,1,U,49.24,48.88,10763376.0,0.11804,-0.7311129163281915,0.10763376,91.85587033,22.123015873015884,13.117390305536404,51.9,51.9,73.0,59.0,63.0,100,100,100,0.73,0.59,0.63,False,False,54.16,48.88,9.9919,10.801963993453342
20260409,20260408,603777.SH,休闲食品,来伊份,14.03,10.04,275906976.0,,4691971048.98,4691970964.8,6.05,4944172.0,141215,141721,3,1/1,1,U,14.03,15.43,39324898.0,0.762086,9.978617248752686,0.39324898,46.91971049,7.017543859649122,7.427258805513004,14.55,14.55,4.0,6.0,27.0,100,100,100,0.04,0.06,0.27,True,True,15.43,15.43,9.9786,0.0
20260409,20260408,603881.SH,通信服务,数据港,39.25,10.01,3275405824.0,,28196297210.75,28196296936.0,11.92,106908561.0,130024,130548,1,1/1,1,U,39.25,38.98,77336320.0,0.276178,-0.6878980891719788,0.7733632,281.96297211,2.4002087138011996,7.918614242507571,40.56,45.12,71.0,19.0,13.0,100,100,100,0.71,0.19,0.13,False,False,39.0,38.98,-0.6369,0.05130836326321992
20260409,20260408,603890.SH,消费电子,春秋电子,15.61,10.01,780162176.0,,6974679139.61,6974679124.0,11.38,6474263.0,104112,144324,1,1/1,1,U,15.61,15.47,9546537.0,0.138113,-0.8968609865470767,0.09546537,69.74679139999999,14.275256222547572,15.288035450516979,15.61,16.77,75.0,53.0,66.0,100,100,100,0.75,0.53,0.66,False,False,15.78,15.47,1.089,2.0038784744667013
20260409,20260408,603920.SH,元件,世运电路,54.08,10.01,1228995088.0,,38969632503.36,38969632665.6,3.23,315099607.0,100810,100810,0,1/1,1,U,54.08,54.62,32646374.0,0.0829457,0.9985207100591698,0.32646374,389.69632502999997,8.944399677679282,6.45669291338582,59.8,72.68,33.0,70.0,32.0,100,100,100,0.33,0.7,0.32,False,False,57.08,54.62,5.5473,4.503844745514465
20260409,20260408,603950.SH,汽车零部件,长源东谷,40.8,10.0,107540640.0,,13203157440.0,13224536640.0,0.81,350015040.0,92503,92503,0,1/1,1,U,40.8,44.88,8401536.0,0.057848,10.000000000000009,0.08401536,132.03157439999998,-5.446118192352268,-20.93023255813954,57.43,57.43,1.0,80.0,71.0,100,100,100,0.01,0.8,0.71,False,False,44.88,44.88,10.0,0.0
20260409,20260408,605016.SH,化学制品,百龙创园,26.58,10.02,200756832.0,,11163927465.6,11163927465.6,1.8,81447924.0,93039,93933,4,1/1,1,U,26.58,24.96,15360384.0,0.14652,-6.094808126410822,0.15360384,111.63927466,6.746987951807237,12.199240185732375,26.58,27.32,100.0,49.0,53.0,100,100,100,1.0,0.49,0.53,False,False,28.07,24.96,5.6057,12.459935897435894
20260409,20260408,605060.SH,通用设备,联德股份,52.98,10.01,164924178.0,,12659062392.0,12746564160.0,1.31,40439634.0,93327,93442,1,1/1,1,U,52.98,53.65,4651455.0,0.0362852,1.2646281615704025,0.04651455,126.59062392,6.278836509528585,-2.359012163656471,63.93,74.0,28.0,92.0,88.0,100,100,100,0.28,0.92,0.88,False,False,53.66,53.65,1.2835,0.018639328984152864
20260409,20260408,605258.SH,元件,协和电子,37.26,10.01,126755288.0,,3278880000.0,3278880000.0,3.98,53143938.0,104656,104656,0,1/1,1,U,37.26,38.38,5507530.0,0.163068,3.005904455179831,0.0550753,32.7888,13.011828935395808,14.294478527607346,38.25,38.25,12.0,43.0,86.0,100,100,100,0.12,0.43,0.86,True,True,36.99,38.38,-0.7246,-3.6216779572694127
20260409,20260408,605287.SH,装修装饰,德才股份,42.53,10.01,293299648.0,,5954200000.0,5954200000.0,5.07,123390587.0,100202,100202,0,1/1,1,U,42.53,42.53,8348639.0,0.140214,0.0,0.08348639,59.542,3.7823328452903926,5.822343866633495,55.36,67.94,48.0,51.0,72.0,100,100,100,0.48,0.51,0.72,False,False,43.4,42.53,2.0456,2.045614860098748
20260409,20260408,605289.SH,专业工程,罗曼股份,109.41,10.0,575933776.0,,11853205875.0,11926510575.0,5.02,35952126.0,144156,144156,0,1/1,1,U,109.41,109.41,5065683.0,0.0427368,0.0,0.05065683,118.53205874999999,15.545464146161159,6.367878670036942,143.0,143.0,48.0,88.0,87.0,100,100,100,0.48,0.88,0.87,False,False,111.06,109.41,1.5081,1.508088840142588
20260409,20260408,605305.SH,工程机械,中际联合,42.76,10.01,443149040.0,,9087355200.0,9087355200.0,5.01,6063368.0,131824,145157,4,1/1,1,U,42.76,42.69,7351218.0,0.0810277,-0.16370439663236924,0.07351218,90.873552,4.471048130955291,8.362899138367963,44.68,49.77,60.0,71.0,76.0,100,100,100,0.6,0.71,0.76,False,False,42.43,42.69,-0.7717,-0.6090419301944203
20260409,20260408,605318.SH,装修建材,法狮龙,84.7,10.0,376381664.0,,10649248671.6,10649248671.6,3.63,20268710.0,132300,134139,7,1/1,1,U,84.7,87.01,12886181.0,0.117793,2.7272727272727337,0.12886181,106.49248672,15.144100054377386,19.39667324499579,84.7,84.7,14.0,60.0,59.0,100,100,100,0.14,0.6,0.59,True,True,93.17,87.01,10.0,7.079646017699111
