ts_code,pre_close,price,amount,turnover_rate,auction_pct,auction_amount_yi
000652.SZ,4.2,4.2,11240460.0,0.18151,0.0,0.1124046
000062.SZ,27.03,28.35,59257170.0,0.200038,4.88346281908989,0.5925717
000019.SZ,7.84,7.78,11191530.0,0.345613,-0.7653061224489721,0.1119153
000766.SZ,21.02,22.07,18022362.0,0.0845335,4.995242626070406,0.18022362
000703.SZ,14.16,14.16,20737320.0,0.0385201,0.0,0.2073732
000695.SZ,12.9,12.9,7994130.0,0.279382,0.0,0.0799413
000890.SZ,17.61,15.85,157031259.75,2.36175,-9.994321408290741,1.5703125975
000830.SZ,16.87,16.23,13584510.0,0.0439562,-3.793716656787194,0.1358451
000919.SZ,8.1,8.5,35309850.0,0.668112,4.938271604938271,0.3530985
000912.SZ,5.27,5.19,17266092.0,0.212168,-1.5180265654648806,0.17266092
000990.SZ,10.24,9.6,22891200.0,0.196217,-6.25,0.228912
002051.SZ,10.48,11.53,169439115.0,1.18767,10.019083969465647,1.69439115
002025.SZ,66.72,71.03,58948081.12,0.18285,6.459832134292576,0.5894808112
002109.SZ,4.46,4.21,23502325.0,0.437407,-5.605381165919288,0.23502325
002092.SZ,6.95,6.7,12303880.0,0.0713014,-3.597122302158273,0.1230388
002037.SZ,8.49,8.5,3591250.0,0.0873144,0.11778563015312216,0.0359125
002119.SZ,21.11,22.16,28668392.0,0.344726,4.973945997157747,0.28668392
002132.SZ,4.07,4.11,14830524.0,0.257838,0.9828009828009909,0.14830524
002181.SZ,11.81,12.4,36462200.0,0.259181,4.995766299745985,0.364622
002193.SZ,5.93,6.08,3514240.0,0.220852,2.5295109612141653,0.0351424
002274.SZ,6.5,6.29,5645275.0,0.0956977,-3.230769230769226,0.05645275
002310.SZ,3.11,3.15,40725405.0,0.307896,1.2861736334405238,0.40725405
002348.SZ,8.05,8.6,14332760.0,0.184454,6.832298136645942,0.1433276
002408.SZ,6.62,6.3,22904280.0,0.132151,-4.8338368580060465,0.2290428
002427.SZ,6.23,6.3,6144390.0,0.0990448,1.123595505617958,0.0614439
002431.SZ,2.77,2.85,6389985.0,0.124395,2.8880866425992746,0.06389985
002442.SZ,6.02,6.17,8111699.0,0.266856,2.491694352159479,0.08111699
002470.SZ,3.0,2.94,40178040.0,0.415917,-2.0000000000000018,0.4017804
002491.SZ,13.82,14.87,157953601.0,0.902897,7.597684515195358,1.57953601
002631.SZ,6.83,6.88,8296592.0,0.151958,0.7320644216691097,0.08296592
002637.SZ,12.28,12.28,2414248.0,0.044407,0.0,0.02414248
002663.SZ,2.21,2.27,2597561.0,0.088507,2.714932126696845,0.02597561
002788.SZ,19.44,19.25,39023600.0,0.530967,-0.977366255144041,0.390236
002840.SZ,12.94,13.2,29449200.0,0.280055,2.0092735703245657,0.294492
002873.SZ,11.9,13.09,58894135.3,1.87707,9.999999999999986,0.588941353
002957.SZ,33.68,35.33,21957595.0,0.148443,4.899049881235151,0.21957595
003042.SZ,18.26,18.26,6480474.0,0.278646,0.0,0.06480474
600063.SH,7.19,6.99,10804443.0,0.0747037,-2.781641168289295,0.10804443
600075.SH,6.8,6.5,7836400.0,0.0705939,-4.411764705882348,0.078364
600110.SH,9.63,9.79,55189167.0,0.324883,1.6614745586708057,0.55189167
600158.SH,11.87,11.8,48754060.0,0.430604,-0.5897219882055493,0.4875406
600195.SH,8.64,8.66,14909212.0,0.168596,0.23148148148146586,0.14909212
600227.SH,3.82,3.75,36913125.0,0.770468,-1.8324607329842868,0.36913125
600250.SH,13.61,13.36,12746776.0,0.305028,-1.8368846436443764,0.12746776
600259.SH,86.96,91.56,39105276.0,0.126948,5.28978840846368,0.39105276
600370.SH,2.52,2.52,15162034.0,0.149735,0.0,0.15162034
600423.SH,3.61,3.68,4482240.0,0.152499,1.939058171745156,0.0448224
600470.SH,7.05,6.9,8143380.0,0.226265,-2.127659574468077,0.0814338
600527.SH,2.5,2.5,14171500.0,0.327332,0.0,0.141715
600596.SH,11.5,11.77,16629833.0,0.104691,2.347826086956517,0.16629833
600623.SH,9.78,9.4,8657400.0,0.0490929,-3.885480572597122,0.086574
600664.SH,3.87,3.87,29662389.0,0.304335,0.0,0.29662389
600691.SH,3.34,3.2,11316480.0,0.148864,-4.191616766467055,0.1131648
600722.SH,14.52,13.83,54762748.0,0.582036,-4.75206611570248,0.54762748
600743.SH,1.99,2.04,2375988.0,0.0496441,2.5125628140703515,0.02375988
600791.SH,11.79,12.3,11121660.0,0.199906,4.325699745547085,0.1112166
600810.SH,8.99,8.75,10768625.0,0.111735,-2.6696329254727535,0.10768625
600955.SH,18.1,17.83,9029112.0,0.0920727,-1.4917127071823355,0.09029112
601133.SH,21.43,22.44,21694072.0,0.647152,4.713019132057861,0.21694072
601388.SH,3.81,3.85,7822815.0,0.0923078,1.049868766404205,0.07822815
603002.SH,10.67,10.74,20197644.0,0.165826,0.6560449859418949,0.20197644
603042.SH,22.81,22.59,26952129.0,0.742949,-0.964489259096879,0.26952129
603090.SH,63.83,66.06,2536704.0,0.0384,3.493655021149933,0.02536704
603188.SH,5.13,5.08,3009900.0,0.103916,-0.9746588693957059,0.030099
603255.SH,29.4,29.68,2062760.0,0.114544,0.952380952380949,0.0206276
603260.SH,43.02,44.0,21586400.0,0.0414987,2.2780102278010084,0.215864
603327.SH,9.77,10.13,42306932.0,0.39948,3.68474923234392,0.42306932
603348.SH,21.47,21.8,4013380.0,0.0585416,1.5370284117373068,0.0401338
603353.SH,40.47,38.55,23885580.0,0.363577,-4.744255003706455,0.2388558
603421.SH,8.91,8.91,7907625.0,0.13608,0.0,0.07907625
603637.SH,12.73,12.87,14477463.0,0.471289,1.09976433621366,0.14477463
603687.SH,16.38,17.1,52532910.0,0.558531,4.395604395604402,0.5253291
603778.SH,31.55,31.53,100949601.0,0.498042,-0.06339144215530279,1.00949601
603968.SH,14.19,14.2,3693420.0,0.127201,0.07047216349542751,0.0369342
603988.SH,27.02,27.0,17671500.0,0.278274,-0.07401924500369805,0.176715
605018.SH,11.99,12.35,5768685.0,0.0993691,3.0025020850708906,0.05768685
605099.SH,41.15,41.15,5596400.0,0.0338769,0.0,0.055964
605162.SH,14.07,14.13,28495971.0,0.50343,0.4264392324093924,0.28495971
605299.SH,23.06,23.0,45770000.0,0.486283,-0.2601908065914982,0.4577
