ts_code,close,open,pct_chg
000426.SZ,43.56,43.15,0.0
000551.SZ,13.94,14.12,0.0
000506.SZ,19.69,18.24,5.2378
000889.SZ,3.95,3.66,10.0279
000727.SZ,2.81,2.84,-0.3546
000811.SZ,18.72,18.35,1.5735
000534.SZ,41.53,40.5,5.5937
000917.SZ,9.79,9.66,-0.7099
000892.SZ,6.44,6.5,-3.5928
000978.SZ,7.92,8.3,-1.6149
000962.SZ,45.33,44.51,1.8423
001267.SZ,43.29,44.2,-2.2799
002008.SZ,76.36,71.0,7.8531
001389.SZ,127.12,128.13,1.1941
001337.SZ,50.79,50.68,-1.0327
001287.SZ,25.58,25.26,1.2668
002042.SZ,4.5,4.65,-0.6623
002046.SZ,46.67,45.31,1.5227
002131.SZ,8.0,8.03,0.6289
002155.SZ,31.03,30.88,-3.2429
002188.SZ,6.4,6.6,-6.2958
002213.SZ,32.51,30.16,10.0169
002217.SZ,2.57,2.46,4.4715
002342.SZ,15.59,14.5,10.0212
002273.SZ,30.11,28.58,6.8488
002353.SZ,112.49,111.61,0.5902
002361.SZ,16.41,16.78,-2.205
002380.SZ,33.48,33.19,0.8738
002384.SZ,131.9,128.0,9.9992
002400.SZ,8.58,8.55,-2.0548
002421.SZ,2.74,2.79,0.3663
002449.SZ,8.14,8.19,-2.2809
002606.SZ,11.72,11.79,-1.5126
002536.SZ,33.56,30.95,9.9967
002484.SZ,30.89,30.4,-0.2583
002478.SZ,11.09,11.08,0.2712
002463.SZ,85.84,84.68,2.1054
002634.SZ,9.34,9.5,-3.4126
002708.SZ,13.49,12.64,5.473
002716.SZ,12.07,12.06,-3.3627
002797.SZ,7.65,7.65,-1.4175
002899.SZ,32.01,32.12,0.1564
002902.SZ,28.83,29.91,-1.8386
002916.SZ,243.0,237.04,2.3115
002921.SZ,26.33,26.0,0.9586
002928.SZ,8.57,8.29,-0.1166
002929.SZ,53.64,53.93,2.8374
002975.SZ,86.9,83.21,10.0
002995.SZ,24.84,24.75,0.3231
003041.SZ,52.45,53.22,-1.6501
600105.SH,34.64,33.95,4.2432
600114.SH,30.05,30.0,0.0333
600115.SH,4.61,4.53,-1.073
600126.SH,9.49,10.24,1.9334
600186.SH,7.47,7.56,-2.097
600301.SH,51.71,52.0,-1.561
600641.SH,21.06,20.92,-0.1422
600589.SH,11.04,10.87,1.5639
600356.SH,9.24,9.5,-1.8066
600666.SH,6.56,7.15,0.9231
600721.SH,10.2,11.2,-8.9286
600986.SH,10.41,10.15,3.0693
600984.SH,4.12,4.22,-0.9615
600875.SH,38.31,37.9,0.0261
600869.SH,15.98,15.64,0.9476
600841.SH,9.02,9.17,-1.2048
600815.SH,3.73,3.86,-3.3679
601002.SH,5.85,5.79,0.5155
601069.SH,35.43,33.31,6.7169
601137.SH,19.35,19.42,-1.0736
603045.SH,31.64,31.26,0.925
603083.SH,115.55,112.93,3.5858
603138.SH,19.55,20.0,-1.8081
603175.SH,88.49,84.7,5.3202
603196.SH,31.33,32.32,1.0971
603203.SH,44.2,41.88,4.9881
603211.SH,26.3,26.0,0.8049
603272.SH,33.65,34.35,1.5696
603306.SH,97.06,89.2,9.9955
603308.SH,68.7,67.8,2.5373
603311.SH,17.47,17.14,0.3446
603315.SH,15.18,14.58,4.4735
603328.SH,12.7,12.38,3.4202
603516.SH,148.23,141.99,4.6231
603538.SH,45.5,46.5,5.2266
603598.SH,20.79,21.0,-2.1647
603629.SH,74.62,71.42,5.9943
603777.SH,15.43,15.43,9.9786
603757.SH,54.16,48.88,9.9919
603890.SH,15.78,15.47,1.089
603881.SH,39.0,38.98,-0.6369
603920.SH,57.08,54.62,5.5473
603950.SH,44.88,44.88,10.0
605016.SH,28.07,24.96,5.6057
605060.SH,53.66,53.65,1.2835
605258.SH,36.99,38.38,-0.7246
605287.SH,43.4,42.53,2.0456
605289.SH,111.06,109.41,1.5081
605305.SH,42.43,42.69,-0.7717
605318.SH,93.17,87.01,10.0
