trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit
20260409,000070.SZ,通信设备,特发信息,20.88,10.01,3590593328.0,,18555614429.76,18799198755.84,20.95,238659464.0,135848,135848,0,1/1,1,U
20260409,000078.SZ,医药商业,海王生物,3.84,10.03,1150325440.0,,10085533969.92,10103513333.76,11.62,47867328.0,93954,103918,1,1/1,1,U
20260409,000990.SZ,化学原料,诚志股份,11.04,9.96,1419485584.0,,13416212450.4,13416222397.44,10.91,5558640.0,112545,143409,9,2/3,1,U
20260409,002025.SZ,军工电子,航天电器,78.22,10.0,2045586288.0,,35501813007.78,35623420468.48,5.91,173686884.0,95248,95248,0,2/3,1,U
20260409,002039.SZ,电力,黔源电力,21.25,9.99,632817568.0,,9085584677.5,9085610220.0,7.18,73349900.0,131527,131527,0,1/1,1,U
20260409,002107.SZ,中药Ⅱ,沃华医药,7.65,10.07,399872576.0,,4371164222.4,4415653440.0,9.3,56303663.0,93327,93821,1,1/1,1,U
20260409,002150.SZ,通用设备,正泰电源,32.78,10.0,1254120320.0,,11753104378.84,11829279264.0,11.23,135327837.0,133800,133800,0,1/1,1,U
20260409,002281.SZ,通信设备,光迅科技,108.09,10.0,9380866816.0,,84253707734.31,87193582898.4,11.43,353510939.0,101812,132257,8,1/1,1,U
20260409,002328.SZ,汽车零部件,新朋股份,9.19,10.06,815494160.0,,5245577524.24,7092566300.0,16.0,69452165.0,94818,100536,3,1/1,1,U
20260409,002364.SZ,其他电源,中恒电气,31.93,9.99,237783349.0,,17820253056.8,17994629172.8,1.33,1042057262.0,92500,92500,0,1/1,1,U
20260409,002580.SZ,电池,圣阳股份,17.25,10.01,1824513312.0,,7802844300.0,7829240112.0,25.13,163689631.0,134148,134148,0,1/1,1,U
20260409,002635.SZ,消费电子,安洁科技,15.75,9.99,556980720.0,,6229646466.75,10390066848.0,9.29,98272928.0,131921,131921,0,1/1,1,U
20260409,002636.SZ,元件,金安国纪,37.19,10.0,2294791920.0,,26937290358.23,27074320000.0,8.69,51716414.0,95312,144057,12,1/1,1,U
20260409,002645.SZ,环保设备,华宏科技,21.29,10.03,908460880.0,,11899567560.79,13361611834.72,7.93,163794976.0,95057,95057,0,1/1,1,U
20260409,002718.SZ,装修建材,友邦吊顶,76.11,10.0,181571932.0,,7152880514.64,9852274265.19,2.63,41506588.0,102709,102709,0,1/1,1,U
20260409,002824.SZ,工业金属,和胜股份,22.97,10.01,620204176.0,,5053426185.8,7147777771.04,12.56,4212698.0,104106,105533,3,1/1,1,U
20260409,002843.SZ,通用设备,泰嘉股份,25.0,9.99,600180816.0,,6269814050.0,6293439050.0,9.87,89881175.0,100948,100948,0,1/1,1,U
20260409,002947.SZ,消费电子,恒铭达,65.34,10.0,1984812064.0,,12586675111.56,16740718014.24,16.05,23595580.0,95606,144718,11,1/1,1,U
20260409,002962.SZ,光学光电,五方光电,15.37,10.02,245213584.0,,3215158156.85,4482896583.2,7.73,50653249.0,93624,93624,0,1/1,1,U
20260409,600330.SH,电子化学,天通股份,19.7,9.99,1881494928.0,,24298657995.2,24298657995.2,8.14,311072672.0,95441,95441,0,1/1,1,U
20260409,600337.SH,家居用品,美克家居,2.86,10.0,401302608.0,,4109814671.82,4109814691.84,9.84,36860395.0,93010,141613,2,1/1,1,U
20260409,600345.SH,通信设备,长江通信,49.42,9.99,1141503376.0,,10455260457.74,16289431365.76,11.36,72894500.0,103708,104241,1,1/1,1,U
20260409,600594.SH,中药Ⅱ,益佰制药,5.06,10.0,377500880.0,,4007152644.0,4007152684.48,9.62,111755392.0,93336,93336,0,3/6,1,U
20260409,600619.SH,家电零部,海立股份,18.38,9.99,875522592.0,,14505032787.24,19728070072.0,6.22,126027800.0,101441,101441,0,1/1,1,U
20260409,600629.SH,工程咨询,华建集团,22.18,10.02,659007776.0,,21140136169.0,21522111390.08,3.17,135597097.0,94253,94253,0,1/1,1,U
