ts_code,pre_close,price,amount,turnover_rate,auction_pct,auction_amount_yi
600330.SH,19.7,20.6,87846743.0,0.345734,4.5685279187817285,0.87846743
600337.SH,2.86,2.86,17536662.0,0.426702,0.0,0.17536662
600345.SH,49.42,53.28,68432832.0,0.607111,7.810602994738969,0.68432832
600594.SH,5.06,4.87,19167833.0,0.497003,-3.75494071146244,0.19167833
600619.SH,18.38,18.18,16892856.0,0.117743,-1.088139281828071,0.16892856
600629.SH,22.18,21.95,28515245.0,0.1363,-1.036970243462576,0.28515245
600707.SH,6.38,7.02,77824422.0,0.309006,10.03134796238243,0.77824422
600743.SH,2.41,2.59,42239533.0,0.695141,7.468879668049788,0.42239533
601133.SH,24.68,25.19,26001118.0,0.196839,2.0664505672609357,0.26001118
601811.SH,15.93,15.24,15816072.0,0.131051,-4.331450094161959,0.15816072
601869.SH,398.31,392.0,78556800.0,0.0493185,-1.584193216339036,0.785568
603121.SH,21.57,21.49,2982812.0,0.0410003,-0.37088548910524377,0.02982812
603216.SH,36.52,36.52,4937504.0,0.0607122,0.0,0.04937504
603306.SH,97.06,98.0,24402000.0,0.0755702,0.9684731094168564,0.24402
603507.SH,46.21,46.22,9156182.0,0.108982,0.0216403375892682,0.09156182
603757.SH,54.16,53.0,22079800.0,0.223321,-2.1418020679468186,0.220798
603773.SH,39.22,40.5,37458450.0,0.411691,3.2636409994900584,0.3745845
603777.SH,15.43,16.67,69290522.0,1.24291,8.036292935839295,0.69290522
603808.SH,11.36,11.31,5792982.0,0.138773,-0.4401408450704136,0.05792982
603863.SH,20.6,20.7,26264160.0,0.619985,0.4854368932038833,0.2626416
603929.SH,198.99,204.0,25989600.0,0.0597113,2.517714458012965,0.259896
603950.SH,44.88,49.37,142620056.0,0.892688,10.004456327985721,1.42620056
603958.SH,22.28,22.37,8352958.0,0.170222,0.4039497307001705,0.08352958
605056.SH,29.32,29.12,9647456.0,0.0821283,-0.6821282401091366,0.09647456
605189.SH,16.02,16.49,22741359.0,0.710592,2.933832709113604,0.22741359
605318.SH,93.17,93.17,14692909.0,0.125428,0.0,0.14692909
000070.SZ,20.88,20.88,107210448.0,0.577779,0.0,1.07210448
000078.SZ,3.84,3.71,56257486.53,0.577349,-3.385416666666663,0.5625748653
000889.SZ,3.95,4.35,33039468.0,0.873172,10.126582278481,0.33039468
000990.SZ,11.04,10.98,27914454.0,0.209202,-0.5434782608695565,0.27914454
002025.SZ,78.22,76.66,60875706.0,0.174961,-1.994374840194324,0.60875706
002039.SZ,21.25,21.0,12627300.0,0.140636,-1.17647058823529,0.126273
002107.SZ,7.65,7.77,37950234.0,0.854787,1.5686274509803866,0.37950234
002150.SZ,32.78,32.99,16300359.0,0.137807,0.6406345332519825,0.16300359
002281.SZ,108.09,111.72,216635805.12,0.248769,3.358312517346662,2.1663580512
002328.SZ,9.19,9.78,60754338.0,1.08833,6.420021762785644,0.60754338
002342.SZ,15.59,16.0,113449600.0,0.742712,2.6298909557408656,1.134496
002364.SZ,31.93,35.12,32057536.0,0.163554,9.990604447228302,0.32057536
002384.SZ,131.9,132.3,404163270.0,0.22036,0.30326004548901775,4.0416327
002536.SZ,33.56,34.36,49131364.0,0.262656,2.3837902264600697,0.49131364
002580.SZ,17.25,17.25,64974367.5,0.832701,0.0,0.649743675
002635.SZ,15.75,15.6,13943280.0,0.225974,-0.9523809523809601,0.1394328
002636.SZ,37.19,38.11,67285796.48,0.243757,2.4737832750739486,0.6728579648
002645.SZ,21.29,21.13,27299960.0,0.231157,-0.7515265382808889,0.2729996
002718.SZ,76.11,78.99,3333378.0,0.0449028,3.7839968466692797,0.03333378
002824.SZ,22.97,24.77,45800720.8,0.840468,7.836308228123645,0.45800720799999994
002843.SZ,25.0,24.86,16362852.0,0.262448,-0.5600000000000049,0.16362852
002947.SZ,65.34,68.8,55899312.0,0.42178,5.295378022650743,0.55899312
002962.SZ,15.37,16.29,51460110.0,1.51015,5.985686402081969,0.5146011
002975.SZ,86.9,86.64,40322256.0,0.439642,-0.2991944764096699,0.40322256
