ts_code,pre_close,price,amount,turnover_rate,auction_pct,auction_amount_yi
600103.SH,3.91,4.3,200093620.0,2.10337,9.97442455242965,2.0009362
600105.SH,38.1,37.87,121160369.0,0.218836,-0.6036745406824306,1.21160369
600156.SH,8.15,8.1,3580200.0,0.10992,-0.613496932515345,0.035802
600345.SH,54.36,55.0,65000925.0,0.558631,1.1773362766740236,0.65000925
600480.SH,10.79,10.99,20440301.0,0.153344,1.8535681186283792,0.20440301
600482.SH,40.44,39.22,51025220.0,0.0573571,-3.0168150346191913,0.5102522
600537.SH,4.07,4.18,27335946.0,0.552473,2.7027027027026973,0.27335946
600707.SH,7.02,6.95,47244015.0,0.189474,-0.9971509971509862,0.47244015
600713.SH,6.05,6.29,35504534.0,0.437633,3.966942148760344,0.35504534
600876.SH,9.94,10.09,4381078.0,0.109737,1.5090543259557387,0.04381078
600983.SH,11.17,11.3,4507570.0,0.0520459,1.1638316920322467,0.0450757
601010.SH,2.42,2.47,10560238.0,0.231353,2.066115702479343,0.10560238
601999.SH,8.46,8.7,10578330.0,0.220706,2.8368794326240954,0.1057833
603026.SH,85.16,85.0,37451000.0,0.189342,-0.18788163457021945,0.37451
603088.SH,13.44,13.53,16897617.0,0.28522,0.6696428571428603,0.16897617
603093.SH,19.31,19.5,12376650.0,0.104038,0.9839461418954087,0.1237665
603101.SH,8.83,8.63,2346497.0,0.0578019,-2.2650056625141524,0.02346497
603200.SH,61.71,61.54,13846500.0,0.12822,-0.27548209366391463,0.138465
603272.SH,37.02,36.15,7801170.0,0.208247,-2.350081037277163,0.0780117
603773.SH,43.14,41.86,44359042.0,0.471693,-2.967083912841917,0.44359042
603777.SH,16.97,17.15,44555700.0,0.776858,1.0606953447259926,0.445557
603889.SH,8.75,9.0,8888400.0,0.136273,2.857142857142847,0.088884
603933.SH,24.53,24.15,24157245.0,0.481969,-1.5491235222176991,0.24157245
603950.SH,49.37,52.0,53471600.0,0.317762,5.327121733846463,0.534716
605006.SH,10.12,9.97,11909165.0,0.199067,-1.4822134387351693,0.11909165
605060.SH,59.03,58.03,7416234.0,0.0534861,-1.6940538709130926,0.07416234
605069.SH,12.36,12.35,913900.0,0.0349555,-0.08090614886731018,0.009139
605117.SH,139.6,139.6,67343040.0,0.0530499,0.0,0.6734304
605255.SH,105.31,106.6,8261500.0,0.0578013,1.2249548950716838,0.082615
000402.SZ,2.78,2.78,10326588.0,0.12429,0.0,0.10326588
000534.SZ,45.68,44.86,18150356.0,0.0809248,-1.795096322241685,0.18150356
000626.SZ,8.61,8.33,17950317.0,0.4278,-3.2520325203251987,0.17950317
000659.SZ,4.3,4.48,7016356.48,0.121813,4.186046511627928,0.07016356480000001
000670.SZ,8.15,8.09,30942632.0,0.465382,-0.7361963190184118,0.30942632
000762.SZ,33.88,34.2,78697620.0,0.441839,0.9445100354191327,0.7869762
000889.SZ,4.35,4.28,49821340.0,1.33822,-1.6091954022988353,0.4982134
001211.SZ,30.68,30.06,3177342.0,0.157769,-2.0208604954367715,0.03177342
001269.SZ,23.18,22.7,7189090.0,0.164595,-2.070750647109576,0.0718909
001299.SZ,15.32,15.35,8151310.5,0.243146,0.1958224543080922,0.081513105
001309.SZ,447.24,450.15,213869416.05,0.295325,0.6506573651730463,2.1386941605
002074.SZ,38.81,38.8,138081440.0,0.204977,-0.025766555011608183,1.3808144
002177.SZ,8.16,8.0,66930792.0,1.23961,-1.9607843137254943,0.66930792
002263.SZ,4.9,4.8,76496640.0,0.848449,-2.0408163265306256,0.7649664
002328.SZ,10.11,11.12,135919760.0,2.14141,9.990108803165176,1.3591976
002363.SZ,8.67,8.57,4134168.0,0.116029,-1.1534025374855816,0.04134168
002364.SZ,35.12,38.63,232607454.6,1.07891,9.994305239179969,2.326074546
002418.SZ,5.69,5.89,52935786.0,0.790868,3.5149384885764468,0.52935786
002580.SZ,18.98,19.45,136930898.05,1.55639,2.476290832455219,1.3693089805
002733.SZ,30.25,30.0,16071000.0,0.14523,-0.8264462809917328,0.16071
002787.SZ,13.78,13.62,8621460.0,0.252332,-1.1611030478955064,0.0862146
002824.SZ,25.27,24.99,27121647.0,0.493316,-1.1080332409972304,0.27121647
002950.SZ,13.56,13.83,21916401.0,0.350601,1.9911504424778625,0.21916401
002962.SZ,16.91,16.15,37324911.0,1.10484,-4.494382022471921,0.37324911
002988.SZ,35.38,35.03,3247281.0,0.0371138,-0.9892594686263467,0.03247281
003036.SZ,26.48,26.4,10127040.0,0.177364,-0.30211480362538623,0.1012704
