ts_code,prev_5d,prev_10d,high20,high60
000070.SZ,13.170731707317064,31.65195460277428,20.88,20.88
002281.SZ,24.269947114279145,25.031810294968192,108.09,108.09
002150.SZ,3.3091711314213734,-16.056338028169005,39.51,39.51
002025.SZ,19.657335169037783,20.190534726490483,78.22,78.22
002039.SZ,15.113759479956656,-1.116798510935313,22.82,22.82
002364.SZ,18.171724648408592,6.7892976588628695,36.49,37.37
002107.SZ,13.33333333333333,22.009569377990434,7.65,7.78
000078.SZ,11.304347826086936,24.271844660194187,3.84,4.83
000990.SZ,12.309257375381467,16.578669482576537,11.28,11.28
002328.SZ,20.921052631578952,35.946745562130175,9.19,9.19
002580.SZ,-6.045751633986929,11.003861003861015,19.37,19.37
002635.SZ,13.309352517985618,12.17948717948718,15.75,15.86
002636.SZ,18.326439707286024,18.439490445859864,37.19,37.19
002718.SZ,21.775999999999996,29.769820971867,76.11,82.57
002645.SZ,15.518176885512759,23.63530778164924,21.29,21.29
002824.SZ,12.267839687194515,29.994340690435738,22.97,25.35
002947.SZ,25.75057736720554,25.895953757225442,65.34,65.34
002843.SZ,17.205813408345062,17.481203007518786,26.75,30.58
002962.SZ,11.619462599854756,9.239516702203264,15.88,15.95
600330.SH,20.710784313725483,18.460613349368614,20.14,20.14
600594.SH,16.055045871559614,36.021505376344074,5.27,5.27
600337.SH,12.15686274509804,9.999999999999986,2.86,4.27
600345.SH,16.11842105263157,23.580895223805953,49.42,49.42
600619.SH,11.868533171028606,11.732522796352573,18.96,22.39
600707.SH,12.720848056537104,10.380622837370247,6.6,7.2
601133.SH,30.928381962864716,27.54521963824288,24.68,24.68
601811.SH,15.854545454545455,17.825443786982255,15.93,16.48
601869.SH,29.321428571428566,55.20183915211972,398.31,398.31
603121.SH,19.435215946843854,29.54954954954956,21.57,26.45
603216.SH,11.681957186544345,11.409395973154357,37.98,58.84
603507.SH,11.888619854721561,19.467425025853146,46.21,46.21
603773.SH,14.913565777907989,7.012278308321962,45.08,45.08
603808.SH,7.068803016022618,9.021113243762002,11.36,11.36
603863.SH,31.377551020408177,7.571801566579639,21.38,21.88
603929.SH,7.736870600974566,-0.4950495049504844,210.3,210.3
603958.SH,8.155339805825236,7.166907166907177,22.28,23.01
600629.SH,8.037018996590351,9.476801579466908,22.98,25.68
605056.SH,20.163934426229524,20.31185884283955,29.32,29.32
605189.SH,8.536585365853666,15.835140997830809,16.02,16.5
000889.SZ,16.176470588235304,11.581920903954801,3.95,4.04
002342.SZ,9.326788218793824,29.808492922564533,15.59,21.42
002384.SZ,21.009174311926614,21.892616209222826,131.9,131.9
002536.SZ,16.689847009735747,9.280364702051447,41.67,41.67
002975.SZ,21.436556735606494,21.23325892857142,86.9,91.0
603306.SH,18.88780009799118,24.53169104439312,97.06,97.06
603757.SH,28.983091212193358,22.756119673617413,54.16,54.16
603777.SH,16.36500754147814,11.167146974063403,15.43,15.43
603950.SH,2.418986764034692,-7.463917525773189,57.43,57.43
605318.SH,22.915567282321913,30.948699929725933,93.17,93.17
600743.SH,26.84210526315791,24.226804123711343,2.41,2.41
