ts_code,close,open,pct_chg
002083.SZ,13.08,13.5,-9.9794
002107.SZ,7.95,8.39,1.5326
002463.SZ,92.78,98.6,-4.88
002149.SZ,53.65,52.0,7.3
002023.SZ,12.72,12.65,3.2468
000967.SZ,11.88,12.18,1.6253
002157.SZ,3.5,3.54,0.2865
002647.SZ,10.2,10.79,-2.0173
000620.SZ,2.92,3.11,-6.1093
002051.SZ,11.9,11.39,9.9815
000889.SZ,4.74,4.32,9.9768
002229.SZ,19.12,19.7,-2.9442
002213.SZ,34.85,37.97,-8.4821
002328.SZ,12.5,11.9,5.5743
002686.SZ,7.37,7.65,-2.7704
002314.SZ,2.69,2.75,-1.8248
002692.SZ,6.61,6.91,-4.755
002885.SZ,26.06,28.39,-3.6599
002990.SZ,42.11,37.96,10.0052
600173.SH,7.44,7.99,-6.4151
600539.SH,15.96,16.4,0.0627
600605.SH,32.33,31.3,10.0034
600469.SH,7.14,7.34,-1.5172
600664.SH,4.44,4.28,9.901
600855.SH,19.94,19.42,3.6921
601588.SH,1.98,2.28,-4.3478
603002.SH,12.88,13.0,0.1555
601778.SH,6.05,6.02,0.3317
603026.SH,98.65,104.0,0.132
603061.SH,333.66,347.99,-1.3249
603109.SH,23.1,23.66,-1.4085
603139.SH,29.58,28.47,3.8988
603171.SH,53.67,56.0,-2.0263
603269.SH,15.81,16.6,-1.2492
603383.SH,31.63,32.8,-0.9706
603527.SH,11.62,12.19,-2.3529
603585.SH,24.97,26.14,-5.4167
603629.SH,87.95,81.55,10.0063
603698.SH,39.53,39.5,9.9889
605167.SH,17.68,19.64,-9.9796
002124.SZ,3.14,2.99,10.1754
002297.SZ,14.62,14.62,10.0075
002980.SZ,70.54,68.43,9.9782
600396.SH,8.05,8.13,0.2491
600152.SH,12.07,12.4,1.5139
001299.SZ,16.69,18.36,-9.9784
