ts_code,prev_5d,prev_10d,high20,high60
000019.SZ,-1.2594458438287215,13.294797687861282,8.18,8.18
000652.SZ,5.793450881612094,15.068493150684947,4.22,4.92
000062.SZ,2.347595607724351,3.16793893129772,28.54,28.54
000695.SZ,-7.725321888412018,1.4948859166010964,15.5,15.5
000830.SZ,-0.17751479289939143,9.474367293964958,20.97,21.8
000703.SZ,14.655870445344132,19.594594594594604,14.16,14.16
000919.SZ,10.95890410958904,22.913505311077387,8.1,8.17
000766.SZ,7.409299948901382,13.867822318526546,21.63,28.44
000912.SZ,-5.045045045045049,2.1317829457364157,6.7,6.7
000890.SZ,18.74578556979096,33.916349809885915,17.61,17.61
000990.SZ,-1.3487475915221592,4.810644831115662,11.28,11.28
002025.SZ,0.3610108303248927,6.479412703479093,68.93,72.33
002037.SZ,4.814814814814827,11.857707509881422,9.0,10.11
002051.SZ,19.634703196347036,29.86369268897151,10.48,10.48
002092.SZ,-4.401650618982112,-5.570652173913048,8.98,8.98
002109.SZ,-7.08333333333333,-1.7621145374449365,5.5,5.5
002119.SZ,1.2470023980815315,6.027122049221489,22.99,27.88
002132.SZ,4.358974358974366,14.647887323943664,4.08,4.33
002181.SZ,-1.991701244813282,12.476190476190485,12.66,13.23
002193.SZ,-5.573248407643316,3.130434782608682,6.73,7.39
002274.SZ,-2.108433734939752,0.9316770186335255,7.78,7.78
002310.SZ,-18.157894736842106,-18.79895561357703,4.11,4.11
002348.SZ,6.905710491367878,13.700564971751428,9.05,9.05
002408.SZ,10.887772194304857,12.585034013605444,6.68,6.79
002663.SZ,-5.5555555555555465,7.804878048780495,2.44,2.44
002637.SZ,3.1066330814441656,2.8475711892797406,17.16,17.16
002631.SZ,-0.14619883040934978,9.105431309904155,8.12,8.12
002491.SZ,18.626609442060094,46.7091295116773,13.82,13.82
002470.SZ,-6.8322981366459645,4.895104895104896,3.82,3.82
002442.SZ,1.0067114093959662,8.078994614003587,6.93,6.93
002431.SZ,-4.152249134948105,8.62745098039217,3.03,3.03
002427.SZ,-0.1602564102564097,-0.9538950715421213,8.16,8.27
002840.SZ,13.409290096406657,20.708955223880587,12.94,12.94
002788.SZ,32.24489795918368,49.30875576036868,19.44,28.29
002873.SZ,17.24137931034482,33.109619686800905,11.9,11.9
002957.SZ,21.80831826401448,40.62630480167015,33.68,33.68
003042.SZ,-7.637835103692458,18.187702265372184,20.09,27.95
600063.SH,3.751803751803773,8.610271903323262,8.15,8.15
600075.SH,-8.969210174029453,-5.68654646324549,8.13,8.13
600110.SH,5.824175824175848,30.487804878048784,9.83,9.83
600158.SH,8.899082568807337,19.2964824120603,12.09,12.09
600195.SH,14.134742404227207,23.076923076923084,8.64,9.03
600227.SH,-11.981566820276502,-1.2919896640826933,5.4,5.4
600250.SH,6.577916992952226,22.06278026905828,14.7,14.7
600259.SH,11.63029525032091,11.658962506420135,96.98,112.29
600370.SH,-0.7874015748031482,-5.263157894736848,3.86,3.86
600791.SH,19.817073170731692,44.1320293398533,11.79,11.79
600743.SH,1.5306122448979664,10.555555555555562,2.04,2.07
600722.SH,-12.0,-11.083894672382112,20.02,20.02
600691.SH,-6.17977528089888,-5.113636363636365,4.87,4.87
600664.SH,12.173913043478258,19.81424148606812,3.87,3.87
600623.SH,-0.6097560975609762,-3.07234886025769,12.26,12.26
600596.SH,4.261106074342713,7.276119402985071,13.65,14.04
600527.SH,-3.8461538461538547,19.047619047619047,2.73,2.73
600470.SH,-5.369127516778526,2.7696793002915276,9.44,9.44
600423.SH,-8.607594936708873,5.247813411078717,4.28,4.31
600810.SH,14.2312579415502,20.02670226969292,9.1,9.52
603255.SH,3.9603960396039417,12.213740458015266,31.32,36.47
603188.SH,3.8461538461538325,13.747228381374722,5.65,6.28
603090.SH,0.20408163265306367,11.727638718711697,74.66,99.01
603042.SH,10.67442988840368,25.260845689181764,22.81,22.81
603002.SH,4.607843137254908,16.73960612691465,11.13,12.34
601388.SH,-3.2994923857867953,15.105740181268889,4.33,4.8
601133.SH,18.006607929515404,25.61547479484174,21.43,21.43
600955.SH,-3.518123667377404,19.867549668874183,19.87,22.0
603260.SH,3.5877678786419454,1.8224852071005992,50.37,58.58
603327.SH,6.659388646288211,11.275626423690198,10.32,11.68
603348.SH,9.989754098360649,15.306122448979576,21.47,21.95
603353.SH,22.19202898550725,10.63422635319846,49.0,54.0
603421.SH,-6.896551724137934,-7.284079084287198,11.36,11.36
603637.SH,4.51559934318555,17.76133209990749,13.08,13.63
603687.SH,1.6129032258064502,11.201629327902229,17.92,17.92
603778.SH,24.703557312252954,27.99188640973631,31.55,31.55
603968.SH,8.735632183908027,10.686427457098269,15.17,17.75
603988.SH,9.837398373983742,17.12180320762895,29.88,39.97
605018.SH,13.220018885741268,16.40776699029125,12.25,12.9
605099.SH,-1.8602432625804965,4.9477174190257545,46.66,47.02
605162.SH,33.364928909952596,35.28846153846155,15.46,15.46
605299.SH,18.9272821041774,57.29877216916779,23.63,23.63
