ts_code,prev_5d,prev_10d,high20,high60
000620.SZ,14.760147601476014,7.241379310344831,3.51,4.09
000889.SZ,32.208588957055206,23.85057471264367,4.35,4.35
002023.SZ,22.587064676616908,19.611650485436893,12.32,15.47
002051.SZ,3.244274809160297,23.51598173515983,12.68,12.68
002083.SZ,21.08333333333332,19.884488448844895,14.53,14.53
002107.SZ,8.749999999999991,21.207430340557277,8.0,8.0
002149.SZ,10.180696342000871,-5.926622765757283,56.0,57.98
000967.SZ,27.203482045701843,33.75286041189931,11.69,11.69
002229.SZ,10.48794167134044,7.35694822888282,19.7,19.7
002213.SZ,41.77215189873418,22.838709677419345,38.08,38.08
002157.SZ,14.42622950819674,14.052287581699341,3.49,3.54
002314.SZ,13.692946058091282,8.730158730158744,2.76,3.16
002328.SZ,44.038929440389275,63.76210235131396,11.84,11.84
002647.SZ,17.893544733861845,9.233997901364122,10.41,10.65
002463.SZ,27.62004448514981,23.172117691627747,97.54,97.54
002686.SZ,1.3368983957219305,10.0145137880987,7.89,7.89
002692.SZ,21.116928446771375,18.02721088435375,6.94,6.94
002885.SZ,17.659852109612896,10.363117095063235,29.65,33.77
002990.SZ,22.300319488817898,31.818181818181834,38.28,38.28
600173.SH,21.37404580152673,6.568364611260047,8.2,9.3
600469.SH,12.05564142194746,8.695652173913038,7.25,8.22
600539.SH,13.847251962883655,2.047344849648103,15.95,15.95
600605.SH,9.623274897426338,3.9617969579059054,31.26,31.51
600664.SH,4.392764857881137,17.101449275362324,4.09,4.09
600855.SH,15.564903846153854,11.091854419410762,19.23,30.0
601588.SH,20.348837209302317,15.642458100558642,2.07,2.07
601778.SH,23.061224489795904,17.31517509727627,6.03,6.38
603026.SH,21.25538461538461,5.867182462927145,98.52,98.52
603002.SH,20.52483598875352,26.078431372549016,12.86,12.86
603061.SH,26.896085863324192,18.783152422102777,338.14,338.14
603109.SH,13.407550822846082,1.4285714285714235,24.96,28.83
603139.SH,7.555723460521335,6.23134328358208,28.69,28.69
603171.SH,12.13920163766633,7.411764705882362,55.39,90.6
603383.SH,12.981959674566678,9.834938101788172,33.08,42.5
603527.SH,16.09756097560977,4.111986001749779,13.09,13.12
603585.SH,3.124999999999978,15.738711091626477,26.95,26.95
603698.SH,23.8029624526352,16.53696498054473,35.94,48.4
603629.SH,24.921875000000004,24.20382165605095,79.95,79.95
002124.SZ,20.253164556962023,17.76859504132231,2.85,2.85
605167.SH,23.755513547574058,15.461493239271018,19.64,19.64
603269.SH,23.43870470316114,16.436363636363648,16.1,19.24
002297.SZ,23.858341099720406,21.259124087591232,13.29,14.66
002980.SZ,26.508875739644957,46.50525354042942,64.14,64.14
600152.SH,24.112734864300634,4.94263018534864,11.89,11.89
600396.SH,6.781914893617014,-0.7416563658838138,9.49,9.49
001299.SZ,38.25503355704698,37.130177514792905,18.54,18.54
