trade_date,prev_trade_date,ts_code,industry,name,close,pct_chg,amount_x,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit,pre_close,price,amount_y,turnover_rate,auction_pct,auction_amount_yi,circ_mv_yi,prev_5d,prev_10d,high20,high60,prev_auction_pct,prev_auction_price,pct_rank,turn_rank,amt_rank,pct_pool_size,turn_pool_size,amt_pool_size,pct_rank_ratio,turn_rank_ratio,amt_rank_ratio,auction_new20,auction_new60,auction_price_ratio,daily_close,daily_open,daily_pct_chg,close_vs_auction_pct
20260415,20260414,000620.SZ,房地产开发,盈新发展,3.11,9.89,669748640.0,,14529138814.65,18261345172.48,4.71,105404427.0,94557,94557,0,1/1,1,U,3.11,3.11,67710609.0,0.466033,0.0,0.67710609,145.29138815,14.760147601476014,7.241379310344831,3.51,4.09,1.4134275618374659,2.87,36.0,17.0,11.0,46,46,46,0.782608695652174,0.3695652173913043,0.2391304347826087,False,False,1.083623693379791,2.92,3.11,-6.1093,-6.109324758842442
20260415,20260414,000889.SZ,通信服务,中嘉博创,4.31,9.95,528603728.0,,3749052103.56,4035414727.2,14.5,94688174.0,93215,93215,0,4/5,1,U,4.31,4.32,48573216.0,1.29261,0.23201856148493682,0.48573216,37.49052104,32.208588957055206,23.85057471264367,4.35,4.35,-0.7653061224489721,3.89,35.0,2.0,19.0,46,46,46,0.7608695652173914,0.043478260869565216,0.41304347826086957,False,False,1.1105398457583548,4.74,4.32,9.9768,9.72222222222222
20260415,20260414,000967.SZ,环保设备,盈峰环境,11.69,9.97,3098099776.0,,37003818612.39,37021580971.2,8.42,23261931.0,93000,145230,32,1/1,1,U,11.69,12.18,100057311.48,0.259519,4.191616766467066,1.0005731148,370.03818612000003,27.203482045701843,33.75286041189931,11.69,11.69,8.560677328316068,11.54,13.0,34.0,4.0,46,46,46,0.2826086956521739,0.7391304347826086,0.08695652173913043,True,True,1.0554592720970537,11.88,12.18,1.6253,-2.4630541871921094
20260415,20260414,002023.SZ,航空装备,海特高新,12.32,10.0,310940672.0,,9127398095.2,9127398156.8,3.41,142711615.0,92500,92500,0,1/1,1,U,12.32,12.65,69946910.0,0.746349,2.678571428571419,0.6994691,91.27398095,22.587064676616908,19.611650485436893,12.32,15.47,10.000000000000009,12.32,20.0,7.0,8.0,46,46,46,0.43478260869565216,0.15217391304347827,0.17391304347826086,True,False,1.0267857142857142,12.72,12.65,3.2468,0.5533596837944686
20260415,20260414,002051.SZ,专业工程,中工国际,10.82,9.96,1746939200.0,,13387994097.94,13388764774.08,13.36,24876153.0,94403,133830,12,4/8,1,U,10.82,11.39,63152902.88,0.448107,5.268022181146037,0.6315290288000001,133.87994098000001,3.244274809160297,23.51598173515983,12.68,12.68,2.7439024390243816,10.11,9.0,19.0,16.0,46,46,46,0.1956521739130435,0.41304347826086957,0.34782608695652173,False,False,1.1266073194856578,11.9,11.39,9.9815,4.477611940298505
20260415,20260414,002083.SZ,纺织制造,孚日股份,14.53,9.99,1326442688.0,,13754664844.36,13754664786.24,10.21,141269770.0,143839,143839,0,1/1,1,U,14.53,13.5,49057650.0,0.384002,-7.088781830695112,0.4905765,137.5007627,21.08333333333332,19.884488448844895,14.53,14.53,0.0,13.21,46.0,23.0,18.0,46,46,46,1.0,0.5,0.391304347826087,False,False,1.0219530658591975,13.08,13.5,-9.9794,-3.1111111111111107
20260415,20260414,002107.SZ,中药Ⅱ,沃华医药,7.83,9.97,441510416.0,,4474015145.28,4519551168.0,10.1,125849147.0,93915,94703,1,2/4,1,U,7.83,8.39,32845172.0,0.685131,7.15197956577267,0.32845172,44.74015145,8.749999999999991,21.207430340557277,8.0,8.0,0.8426966292134797,7.18,4.0,8.0,26.0,46,46,46,0.08695652173913043,0.17391304347826086,0.5652173913043478,True,True,1.168523676880223,7.95,8.39,1.5326,-5.244338498212161
20260415,20260414,002149.SZ,小金属,西部材料,50.0,10.01,3377354752.0,,24406963700.0,24410713600.0,14.51,147429100.0,130757,130839,1,1/1,1,U,50.0,52.0,110156696.0,0.433974,4.0000000000000036,1.10156696,244.069637,10.180696342000871,-5.926622765757283,56.0,57.98,1.7381738173817274,46.24,14.0,21.0,2.0,46,46,46,0.30434782608695654,0.45652173913043476,0.043478260869565216,False,False,1.1245674740484428,53.65,52.0,7.3,3.1730769230769202
20260415,20260414,002157.SZ,养殖业,正邦科技,3.49,10.09,2135125888.0,,25247547182.43,32283067781.12,8.66,22744330.0,103930,143600,27,1/1,1,U,3.49,3.54,69767028.0,0.272429,1.4326647564469885,0.69767028,252.47547182,14.42622950819674,14.052287581699341,3.49,3.54,-0.3154574132492094,3.16,24.0,32.0,9.0,46,46,46,0.5217391304347826,0.6956521739130435,0.1956521739130435,True,True,1.120253164556962,3.5,3.54,0.2865,-1.12994350282486
20260415,20260414,002213.SZ,半导体,大为股份,38.08,9.99,662636224.0,,7865693758.72,9043425753.6,8.7,112103712.0,94354,94354,0,1/1,1,U,38.08,37.97,43035198.0,0.54871,-0.28886554621848637,0.43035198,78.65693759,41.77215189873418,22.838709677419345,38.08,38.08,0.7510109763142925,34.88,41.0,13.0,20.0,46,46,46,0.8913043478260869,0.2826086956521739,0.43478260869565216,False,False,1.0885894495412842,34.85,37.97,-8.4821,-8.217013431656564
20260415,20260414,002229.SZ,包装印刷,鸿博股份,19.7,9.99,866660528.0,,9715176411.1,9774972313.6,9.04,128338605.0,93112,93112,0,1/1,1,U,19.7,19.7,73624810.0,0.757833,0.0,0.7362481,97.15176411,10.48794167134044,7.35694822888282,19.7,19.7,3.7409268565047338,18.58,36.0,6.0,6.0,46,46,46,0.782608695652174,0.13043478260869565,0.13043478260869565,True,True,1.0602798708288483,19.12,19.7,-2.9442,-2.944162436548215
20260415,20260414,002314.SZ,房地产开发,南山控股,2.74,10.04,231043160.0,,3666879703.36,7419324082.88,6.53,33577056.0,135351,140100,1,1/1,1,U,2.74,2.75,17449575.0,0.474139,0.36496350364962904,0.17449575,36.66879703,13.692946058091282,8.730158730158744,2.76,3.16,0.8032128514056103,2.51,34.0,16.0,33.0,46,46,46,0.7391304347826086,0.34782608695652173,0.717391304347826,False,False,1.0956175298804782,2.69,2.75,-1.8248,-2.181818181818184
20260415,20260414,002328.SZ,汽车零部件,新朋股份,11.84,10.04,1879927136.0,,6758176048.64,9137756800.0,29.04,95386319.0,102036,103230,1,3/4,1,U,11.84,11.9,102504220.0,1.5091,0.5067567567567544,1.0250422,67.58176049000001,44.038929440389275,63.76210235131396,11.84,11.84,3.3457249070631967,11.12,32.0,1.0,3.0,46,46,46,0.6956521739130435,0.021739130434782608,0.06521739130434782,True,True,1.0701438848920863,12.5,11.9,5.5743,5.042016806722685
20260415,20260414,002463.SZ,元件,沪电股份,97.54,10.0,8999482624.0,,187550934804.44,187702419301.44,4.88,376816528.0,95003,133954,6,1/1,1,U,97.54,98.6,208824940.0,0.110146,1.0867336477342615,2.0882494,1875.50934804,27.62004448514981,23.172117691627747,97.54,97.54,3.3946092252171045,91.68,28.0,41.0,1.0,46,46,46,0.6086956521739131,0.8913043478260869,0.021739130434782608,True,True,1.075479930191972,92.78,98.6,-4.88,-5.902636916835694
