ts_code,circ_mv_yi,prev_close
002107.SZ,44.74015145,7.83
002213.SZ,78.65693759,38.08
000967.SZ,370.03818612000003,11.69
002149.SZ,244.069637,50.0
002083.SZ,137.5007627,14.53
002023.SZ,91.27398095,12.32
000620.SZ,145.29138815,3.11
002229.SZ,97.15176411,19.7
000889.SZ,37.49052104,4.31
002314.SZ,36.66879703,2.74
002051.SZ,133.87994098000001,10.82
002157.SZ,252.47547182,3.49
002328.SZ,67.58176049000001,11.84
002647.SZ,105.69186149,10.41
002463.SZ,1875.50934804,97.54
002686.SZ,39.62313169,7.58
002692.SZ,49.80900287,6.94
002885.SZ,62.46052014,27.05
600173.SH,55.6830914,7.95
002990.SZ,51.33171453,38.28
600469.SH,52.885188150000005,7.25
600539.SH,36.685,15.95
600664.SH,101.74779899,4.04
600605.SH,60.62640588,29.39
600855.SH,89.92711969,19.23
601588.SH,55.062,2.07
601778.SH,215.42716132,6.03
603026.SH,229.25703898999998,98.52
603002.SH,145.84249626,12.86
603061.SH,202.884,338.14
603109.SH,48.93317075,23.43
603139.SH,28.435836,28.47
603171.SH,222.346542,54.78
603269.SH,49.43115806,16.01
603383.SH,65.59720906,31.94
603527.SH,37.7195728,11.9
603629.SH,205.353174,79.95
603698.SH,192.634806,35.94
603585.SH,48.9933708,26.4
002124.SZ,56.21210747,2.85
605167.SH,88.20310331,19.64
002297.SZ,76.16563045,13.29
600396.SH,118.25835741,8.03
002980.SZ,65.03151008,64.14
600152.SH,62.907537690000005,11.89
001299.SZ,40.49134498,18.54
