trade_date,prev_trade_date,ts_code,industry,name,close,pct_chg,amount_x,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit,pre_close,price,amount_y,turnover_rate,auction_pct,auction_amount_yi,circ_mv_yi,prev_5d,prev_10d,high20,high60,prev_auction_pct,prev_auction_price,pct_rank,turn_rank,amt_rank,pct_pool_size,turn_pool_size,amt_pool_size,pct_rank_ratio,turn_rank_ratio,amt_rank_ratio,auction_new20,auction_new60,auction_price_ratio,daily_close,daily_open,daily_pct_chg,close_vs_auction_pct
20260410,20260409,002635.SZ,消费电子,安洁科技,15.75,9.99,556980720.0,,6229646466.75,10390066848.0,9.29,98272928.0,131921,131921,0,1/1,1,U,15.75,15.6,13943280.0,0.225974,-0.9523809523809601,0.1394328,62.296464670000006,13.309352517985618,12.17948717948718,15.75,15.86,-1.3966480446927498,14.12,41.0,28.0,42.0,50,50,50,0.82,0.56,0.84,False,False,1.1048158640226629,15.47,15.6,-1.7778,-0.8333333333333269
20260410,20260409,002636.SZ,元件,金安国纪,37.19,10.0,2294791920.0,,26937290358.23,27074320000.0,8.69,51716414.0,95312,144057,12,1/1,1,U,37.19,38.11,67285796.48,0.243757,2.4737832750739486,0.6728579648,269.37290358,18.326439707286024,18.439490445859864,37.19,37.19,0.1183081928423535,33.85,19.0,26.0,11.0,50,50,50,0.38,0.52,0.22,True,True,1.1258493353028065,35.93,38.11,-3.388,-5.720283390186302
20260410,20260409,002645.SZ,环保设备,华宏科技,21.29,10.03,908460880.0,,11899567560.79,13361611834.72,7.93,163794976.0,95057,95057,0,1/1,1,U,21.29,21.13,27299960.0,0.231157,-0.7515265382808889,0.2729996,118.99567561,15.518176885512759,23.63530778164924,21.29,21.29,0.7751937984496138,19.5,40.0,27.0,28.0,50,50,50,0.8,0.54,0.56,False,False,1.0835897435897435,21.72,21.13,2.0197,2.7922385234264073
20260410,20260409,002718.SZ,装修建材,友邦吊顶,76.11,10.0,181571932.0,,7152880514.64,9852274265.19,2.63,41506588.0,102709,102709,0,1/1,1,U,76.11,78.99,3333378.0,0.0449028,3.7839968466692797,0.03333378,71.52880515,21.775999999999996,29.769820971867,76.11,82.57,-0.49140049140049546,68.85,13.0,49.0,49.0,50,50,50,0.26,0.98,0.98,True,False,1.147276688453159,78.41,78.99,3.0219,-0.7342701607798434
20260410,20260409,002824.SZ,工业金属,和胜股份,22.97,10.01,620204176.0,,5053426185.8,7147777771.04,12.56,4212698.0,104106,105533,3,1/1,1,U,22.97,24.77,45800720.8,0.840468,7.836308228123645,0.45800720799999994,50.53426186,12.267839687194515,29.994340690435738,22.97,25.35,-0.3831417624520994,20.8,6.0,7.0,19.0,50,50,50,0.12,0.14,0.38,True,False,1.1908653846153845,25.27,24.77,10.0131,2.018570851836899
20260410,20260409,002843.SZ,通用设备,泰嘉股份,25.0,9.99,600180816.0,,6269814050.0,6293439050.0,9.87,89881175.0,100948,100948,0,1/1,1,U,25.0,24.86,16362852.0,0.262448,-0.5600000000000049,0.16362852,62.6981405,17.205813408345062,17.481203007518786,26.75,30.58,0.3519577650681782,22.81,38.0,24.0,38.0,50,50,50,0.76,0.48,0.76,False,False,1.0898728627794827,23.65,24.86,-5.4,-4.867256637168145
20260410,20260409,002947.SZ,消费电子,恒铭达,65.34,10.0,1984812064.0,,12586675111.56,16740718014.24,16.05,23595580.0,95606,144718,11,1/1,1,U,65.34,68.8,55899312.0,0.42178,5.295378022650743,0.55899312,125.86675112,25.75057736720554,25.895953757225442,65.34,65.34,-1.5151515151515138,58.5,11.0,19.0,16.0,50,50,50,0.22,0.38,0.32,True,True,1.176068376068376,67.38,68.8,3.1221,-2.0639534883720954
20260410,20260409,002962.SZ,光学光电,五方光电,15.37,10.02,245213584.0,,3215158156.85,4482896583.2,7.73,50653249.0,93624,93624,0,1/1,1,U,15.37,16.29,51460110.0,1.51015,5.985686402081969,0.5146011,32.15158157,11.619462599854756,9.239516702203264,15.88,15.95,1.3600572655690701,14.16,10.0,1.0,17.0,50,50,50,0.2,0.02,0.34,True,True,1.1504237288135593,16.91,16.29,10.0195,3.8060159607120996
20260410,20260409,600330.SH,电子化学,天通股份,19.7,9.99,1881494928.0,,24298657995.2,24298657995.2,8.14,311072672.0,95441,95441,0,1/1,1,U,19.7,20.6,87846743.0,0.345734,4.5685279187817285,0.87846743,242.98657995000002,20.710784313725483,18.460613349368614,20.14,20.14,-1.5633724176437824,17.63,12.0,21.0,6.0,50,50,50,0.24,0.42,0.12,True,True,1.168462847419172,19.0,20.6,-3.5533,-7.766990291262142
20260410,20260409,600337.SH,家居用品,美克家居,2.86,10.0,401302608.0,,4109814671.82,4109814691.84,9.84,36860395.0,93010,141613,2,1/1,1,U,2.86,2.86,17536662.0,0.426702,0.0,0.17536662,41.09814672,12.15686274509804,9.999999999999986,2.86,4.27,7.692307692307687,2.8,29.0,18.0,36.0,50,50,50,0.58,0.36,0.72,True,False,1.0214285714285714,2.93,2.86,2.4476,2.4475524475524577
