ts_code,circ_mv_yi,prev_close
002150.SZ,117.53104379,32.78
000078.SZ,100.8553397,3.84
002645.SZ,118.99567561,21.29
000990.SZ,134.1621245,11.04
002039.SZ,90.85584678,21.25
002580.SZ,78.02844300000001,17.25
002718.SZ,71.52880515,76.11
002107.SZ,43.711642219999995,7.65
002636.SZ,269.37290358,37.19
000070.SZ,185.5561443,20.88
002635.SZ,62.296464670000006,15.75
002025.SZ,355.01813008,78.22
002364.SZ,178.20253057,31.93
002824.SZ,50.53426186,22.97
002281.SZ,842.5370773399999,108.09
002328.SZ,52.45577524,9.19
002843.SZ,62.6981405,25.0
002947.SZ,125.86675112,65.34
600330.SH,242.98657995000002,19.7
600337.SH,41.09814672,2.86
002962.SZ,32.15158157,15.37
600594.SH,40.07152644,5.06
600619.SH,145.05032787,18.38
600629.SH,211.40136169,22.18
600345.SH,104.55260458,49.42
601133.SH,36.86864842,24.68
600707.SH,228.8933289,6.38
601811.SH,126.15029127,15.93
601869.SH,1618.48613849,398.31
603121.SH,73.02172232999999,21.57
603216.SH,81.326388,36.52
603507.SH,83.99698306,46.21
603773.SH,88.11111586,39.22
603808.SH,41.92895094,11.36
603863.SH,42.1579,20.6
603929.SH,424.56506399999995,198.99
605189.SH,31.091245299999997,16.02
603958.SH,48.873408000000005,22.28
000889.SZ,34.3590622,3.95
605056.SH,118.27488624,29.32
002384.SZ,1828.55835264,131.9
002342.SZ,148.836171,15.59
002536.SZ,182.70100077,33.56
603306.SH,319.80769656,97.06
002975.SZ,91.99145362,86.9
603757.SH,101.03399547,54.16
603777.SH,51.60164881,15.43
603950.SH,145.23473184,44.88
605318.SH,117.14173539,93.17
600743.SH,56.541031059999995,2.41
