ts_code,close,open,pct_chg
001211.SZ,31.68,30.06,3.2595
000670.SZ,8.21,8.09,0.7362
000534.SZ,45.98,44.86,0.6567
000626.SZ,8.67,8.33,0.6969
002363.SZ,8.43,8.57,-2.7682
001269.SZ,23.83,22.7,2.8041
002074.SZ,39.5,38.8,1.7779
000402.SZ,3.06,2.78,10.0719
000762.SZ,33.66,34.2,-0.6494
001299.SZ,16.85,15.35,9.9869
000659.SZ,4.3,4.48,0.0
002177.SZ,8.02,8.0,-1.7157
002418.SZ,6.26,5.89,10.0176
002733.SZ,30.85,30.0,1.9835
002263.SZ,4.99,4.8,1.8367
002787.SZ,14.24,13.62,3.3382
002950.SZ,14.59,13.83,7.5959
002988.SZ,38.05,35.03,7.5466
600105.SH,38.7,37.87,1.5748
001309.SZ,481.49,450.15,7.6581
003036.SZ,27.75,26.4,4.7961
600103.SH,4.0,4.3,2.3018
600156.SH,7.85,8.1,-3.681
600482.SH,41.2,39.22,1.8793
600537.SH,4.21,4.18,3.4398
600713.SH,5.86,6.29,-3.1405
600876.SH,9.91,10.09,-0.3018
600983.SH,11.05,11.3,-1.0743
601010.SH,2.4,2.47,-0.8264
601999.SH,8.29,8.7,-2.0095
603026.SH,89.56,85.0,5.1667
603088.SH,13.41,13.53,-0.2232
603101.SH,8.51,8.63,-3.624
600480.SH,11.47,10.99,6.3021
603200.SH,62.3,61.54,0.9561
603272.SH,33.95,36.15,-8.2928
603889.SH,8.95,9.0,2.2857
605006.SH,10.58,9.97,4.5455
605069.SH,12.2,12.35,-1.2945
605060.SH,58.47,58.03,-0.9487
605117.SH,146.94,139.6,5.2579
002328.SZ,10.76,11.12,6.4293
605255.SH,115.84,106.6,9.9991
002364.SZ,38.63,38.63,9.9943
002580.SZ,20.88,19.45,10.0105
603093.SH,19.12,19.5,-0.9839
002824.SZ,27.1,24.99,7.2418
002962.SZ,16.58,16.15,-1.9515
600707.SH,6.89,6.95,-1.8519
600345.SH,55.0,55.0,1.1773
603773.SH,44.0,41.86,1.9935
603933.SH,23.9,24.15,-2.5683
000889.SZ,3.92,4.28,-9.8851
603777.SH,16.9,17.15,-0.4125
603950.SH,54.31,52.0,10.0061
