ts_code,close,open,pct_chg
001208.SZ,22.2,21.83,3.7383
002038.SZ,7.91,8.2,-1.9827
000026.SZ,17.73,17.5,-0.5051
002361.SZ,19.26,18.5,3.8835
000785.SZ,2.63,2.7,-2.5926
002589.SZ,3.64,3.87,1.3928
000788.SZ,6.66,6.9,-1.6248
002468.SZ,18.03,18.0,10.0061
002498.SZ,8.99,8.5,5.7647
002798.SZ,7.11,6.7,6.5967
002705.SZ,17.89,18.13,3.1719
002787.SZ,16.31,16.73,-2.2182
000919.SZ,8.3,8.49,0.4843
001896.SZ,17.06,16.41,2.9572
002033.SZ,10.93,9.93,9.9598
002788.SZ,15.7,16.4,-1.5674
002824.SZ,28.78,30.83,-2.8359
003036.SZ,28.94,29.7,-2.5589
600135.SH,11.01,11.09,-1.6964
002891.SZ,42.0,41.76,0.3824
600267.SH,11.53,11.93,1.2291
600594.SH,4.68,4.7,-1.6807
600488.SH,6.29,6.54,-8.0409
600572.SH,4.94,5.08,2.9167
600683.SH,10.9,10.4,9.9899
603150.SH,58.82,57.53,2.2423
603216.SH,30.87,32.5,-6.934
603285.SH,35.85,35.0,3.4632
603444.SH,386.43,391.34,-1.7567
603327.SH,10.56,10.54,0.1898
603459.SH,68.69,70.0,0.424
603687.SH,19.84,19.0,9.9778
603773.SH,48.09,49.0,-2.8877
603815.SH,6.69,6.51,5.1887
603890.SH,18.89,18.55,0.9621
603950.SH,61.65,61.12,3.0247
605098.SH,63.27,61.88,5.187
605289.SH,131.59,127.0,3.9333
605222.SH,26.61,25.11,3.1395
605365.SH,25.01,23.22,5.6612
603063.SH,36.94,37.96,-2.8662
605366.SH,14.0,13.74,4.3997
605388.SH,8.06,7.33,9.9591
002051.SZ,11.59,11.54,-2.605
000889.SZ,5.0,4.57,5.4852
002990.SZ,46.32,42.42,9.9976
600605.SH,31.25,32.0,-3.3406
603629.SH,95.85,87.95,8.9824
600664.SH,4.4,4.7,-0.9009
603698.SH,42.58,38.2,7.7157
002297.SZ,16.08,16.08,9.9863
002124.SZ,2.93,3.06,-6.6879
