ts_code,circ_mv_yi,prev_close
000026.SZ,59.82441629,16.41
002124.SZ,51.08398538,2.59
002467.SZ,107.57376742,7.87
002436.SZ,381.09845769000003,25.23
000010.SZ,35.27157674,4.13
001203.SZ,557.25915786,42.67
000612.SZ,161.06613813,13.51
002240.SZ,409.53085269,44.86
002080.SZ,841.41116502,50.14
002439.SZ,103.89824606,14.26
002515.SZ,75.54141966,6.24
000968.SZ,98.49177079,10.18
000791.SZ,154.84946288,8.0
002321.SZ,48.21961431,2.27
002297.SZ,69.23106213999999,12.08
002876.SZ,45.57613511,30.6
002902.SZ,54.852837560000005,30.88
002943.SZ,74.64160671,51.26
002957.SZ,173.16557731999998,41.36
002929.SZ,119.97751136000001,56.98
002980.SZ,59.12047635,58.31
003018.SZ,84.22508499999999,35.48
000688.SZ,534.8191061,45.13
600032.SH,235.41771422000002,9.79
600152.SH,57.19348044,10.81
600166.SH,290.56859347,3.67
600176.SH,1285.40720336,32.11
600299.SH,407.11261324,15.18
600337.SH,46.27134001,3.22
600396.SH,107.50759764,7.3
600527.SH,48.66248135,2.81
600773.SH,184.22721706000002,19.36
600654.SH,104.05268885,4.49
002678.SZ,78.73931798000001,5.8
600815.SH,72.38305478,4.08
600982.SH,64.71063138,5.79
601908.SH,110.34735075,4.57
603177.SH,24.707232,12.1
603256.SH,785.5966575,89.3
603283.SH,136.94288666999998,50.5
603350.SH,16.7816,38.14
603682.SH,32.7915,6.94
603803.SH,64.8372308,15.26
603738.SH,108.58874025000001,28.14
603800.SH,99.7776,47.97
603897.SH,84.37026282000001,40.87
000402.SZ,91.45321546,3.06
002418.SZ,71.13847336,6.26
001299.SZ,36.80038635,16.85
605255.SH,155.318272,115.84
002364.SZ,215.59548249,38.63
002580.SZ,94.44834144000001,20.88
