ts_code,close,open,pct_chg
002025.SZ,76.23,76.66,-2.5441
000078.SZ,3.77,3.71,-1.8229
002039.SZ,20.72,21.0,-2.4941
002636.SZ,35.93,38.11,-3.388
002150.SZ,33.43,32.99,1.9829
002718.SZ,78.41,78.99,3.0219
000990.SZ,10.84,10.98,-1.8116
002824.SZ,25.27,24.77,10.0131
000070.SZ,19.76,20.88,-5.364
002364.SZ,35.12,35.12,9.9906
002281.SZ,107.82,111.72,-0.2498
002328.SZ,10.11,9.78,10.0109
002635.SZ,15.47,15.6,-1.7778
002107.SZ,7.53,7.77,-1.5686
002580.SZ,18.98,17.25,10.029
002645.SZ,21.72,21.13,2.0197
002843.SZ,23.65,24.86,-5.4
002962.SZ,16.91,16.29,10.0195
002947.SZ,67.38,68.8,3.1221
600330.SH,19.0,20.6,-3.5533
600337.SH,2.93,2.86,2.4476
600594.SH,4.81,4.87,-4.9407
600345.SH,54.36,53.28,9.996
600619.SH,17.8,18.18,-3.1556
600707.SH,7.02,7.02,10.0313
600629.SH,22.2,21.95,0.0902
601133.SH,24.9,25.19,0.8914
601811.SH,15.41,15.24,-3.2643
603121.SH,21.15,21.49,-1.9471
603216.SH,33.63,36.52,-7.9135
601869.SH,384.38,392.0,-3.4973
603507.SH,47.24,46.22,2.229
603773.SH,43.14,40.5,9.9949
603808.SH,10.76,11.31,-5.2817
603863.SH,20.23,20.7,-1.7961
603929.SH,210.5,204.0,5.7842
603958.SH,22.68,22.37,1.7953
605056.SH,28.96,29.12,-1.2278
605189.SH,16.81,16.49,4.9313
000889.SZ,4.35,4.35,10.1266
002342.SZ,15.5,16.0,-0.5773
002384.SZ,143.55,132.3,8.8324
002536.SZ,34.31,34.36,2.2348
002975.SZ,88.63,86.64,1.9908
603306.SH,101.8,98.0,4.8836
603757.SH,55.11,53.0,1.7541
603777.SH,16.97,16.67,9.9806
603950.SH,49.37,49.37,10.0045
605318.SH,90.9,93.17,-2.4364
600743.SH,2.65,2.59,9.9585
