ts_code,close,open,pct_chg
000657.SZ,56.12,53.5,8.131
000967.SZ,14.0,14.01,7.1155
001230.SZ,27.99,28.02,0.974
000593.SZ,18.76,18.88,2.3459
000546.SZ,6.83,6.96,-3.5311
000762.SZ,36.84,37.85,-0.7276
001203.SZ,46.52,48.66,0.2802
002008.SZ,87.56,88.4,1.0269
000570.SZ,6.61,6.76,-1.9288
000571.SZ,5.79,5.89,1.7575
000070.SZ,20.33,20.74,-2.1184
000815.SZ,21.6,23.0,-2.7465
000782.SZ,5.99,5.86,3.0981
002209.SZ,16.68,16.48,1.0909
002062.SZ,8.48,8.05,5.3416
001268.SZ,33.0,31.9,5.2967
002213.SZ,37.73,39.06,-1.591
002263.SZ,4.98,5.26,-3.675
002333.SZ,5.93,6.19,-7.1987
002237.SZ,16.82,16.51,1.8776
002491.SZ,15.13,15.62,-3.137
002595.SZ,90.5,91.49,1.6625
002421.SZ,2.87,2.87,-1.0345
002613.SZ,4.07,4.13,-2.3981
002726.SZ,3.49,3.62,-3.5912
002757.SZ,22.36,22.79,-1.8868
002771.SZ,18.52,20.21,0.8165
002802.SZ,16.36,15.05,10.0202
002859.SZ,50.22,48.65,8.3963
002875.SZ,22.06,21.41,5.0977
002850.SZ,198.16,202.11,-3.614
002929.SZ,61.34,64.5,-6.0499
600156.SH,9.26,8.98,9.9762
002940.SZ,39.16,35.96,10.0
003041.SZ,57.78,57.9,-0.3278
600284.SH,7.51,7.3,0.1333
600507.SH,6.01,6.09,-0.6612
600666.SH,7.09,6.85,3.5036
600549.SH,62.85,62.17,1.5676
600719.SH,7.38,7.47,0.6821
600749.SH,20.3,20.0,1.8565
600847.SH,14.79,14.48,1.0936
600961.SH,22.09,22.09,10.01
601778.SH,6.91,7.0,3.7538
600768.SH,17.83,17.58,1.7694
603032.SH,22.76,22.04,2.754
603052.SH,83.35,79.0,10.004
600875.SH,41.72,42.5,-0.7612
603322.SH,38.09,36.8,5.0469
603315.SH,18.52,17.01,9.9762
603220.SH,32.24,32.56,0.9709
603826.SH,34.37,35.5,0.6148
603878.SH,8.26,8.27,-0.1209
603897.SH,51.67,52.0,2.1146
603906.SH,25.99,25.8,3.7525
603920.SH,59.1,62.28,0.4077
603933.SH,24.5,25.0,-1.8036
603985.SH,24.6,25.1,0.2445
605060.SH,60.22,60.0,2.1544
605166.SH,11.33,11.0,1.7969
605287.SH,45.17,46.88,-3.8527
605336.SH,15.12,15.7,-3.3866
002033.SZ,10.43,10.92,-4.5746
002468.SZ,17.18,18.01,-4.7144
600683.SH,11.99,11.98,10.0
002990.SZ,50.95,48.07,9.9957
603687.SH,19.25,19.38,-2.9738
605388.SH,8.87,8.4,10.0496
