trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit
20260414,000620.SZ,房地产开发,盈新发展,3.11,9.89,669748640.0,,14529138814.65,18261345172.48,4.71,105404427.0,94557,94557,0,1/1,1,U
20260414,000889.SZ,通信服务,中嘉博创,4.31,9.95,528603728.0,,3749052103.56,4035414727.2,14.5,94688174.0,93215,93215,0,4/5,1,U
20260414,000967.SZ,环保设备,盈峰环境,11.69,9.97,3098099776.0,,37003818612.39,37021580971.2,8.42,23261931.0,93000,145230,32,1/1,1,U
20260414,002023.SZ,航空装备,海特高新,12.32,10.0,310940672.0,,9127398095.2,9127398156.8,3.41,142711615.0,92500,92500,0,1/1,1,U
20260414,002051.SZ,专业工程,中工国际,10.82,9.96,1746939200.0,,13387994097.94,13388764774.08,13.36,24876153.0,94403,133830,12,4/8,1,U
20260414,002083.SZ,纺织制造,孚日股份,14.53,9.99,1326442688.0,,13754664844.36,13754664786.24,10.21,141269770.0,143839,143839,0,1/1,1,U
20260414,002107.SZ,中药Ⅱ,沃华医药,7.83,9.97,441510416.0,,4474015145.28,4519551168.0,10.1,125849147.0,93915,94703,1,2/4,1,U
20260414,002149.SZ,小金属,西部材料,50.0,10.01,3377354752.0,,24406963700.0,24410713600.0,14.51,147429100.0,130757,130839,1,1/1,1,U
20260414,002157.SZ,养殖业,正邦科技,3.49,10.09,2135125888.0,,25247547182.43,32283067781.12,8.66,22744330.0,103930,143600,27,1/1,1,U
20260414,002213.SZ,半导体,大为股份,38.08,9.99,662636224.0,,7865693758.72,9043425753.6,8.7,112103712.0,94354,94354,0,1/1,1,U
20260414,002229.SZ,包装印刷,鸿博股份,19.7,9.99,866660528.0,,9715176411.1,9774972313.6,9.04,128338605.0,93112,93112,0,1/1,1,U
20260414,002314.SZ,房地产开发,南山控股,2.74,10.04,231043160.0,,3666879703.36,7419324082.88,6.53,33577056.0,135351,140100,1,1/1,1,U
20260414,002328.SZ,汽车零部件,新朋股份,11.84,10.04,1879927136.0,,6758176048.64,9137756800.0,29.04,95386319.0,102036,103230,1,3/4,1,U
20260414,002463.SZ,元件,沪电股份,97.54,10.0,8999482624.0,,187550934804.44,187702419301.44,4.88,376816528.0,95003,133954,6,1/1,1,U
20260414,002647.SZ,多元金融,仁东控股,10.41,10.04,599680752.0,,10569186149.37,11766336222.24,5.74,55481136.0,93339,100148,4,1/1,1,U
20260414,002686.SZ,通用设备,亿利达,7.58,10.01,276218848.0,,3962313168.64,4292092650.88,7.14,44981236.0,94403,104042,1,1/1,1,U
20260414,002692.SZ,电网设备,远程股份,6.94,9.98,437439584.0,,4980900286.5,4983933240.0,8.93,49469374.0,93812,94036,1,1/1,1,U
20260414,002885.SZ,其他电子,京泉华,27.05,10.0,243084559.0,,6246052013.65,7328304200.8,3.89,113258025.0,93000,93000,0,1/1,1,U
20260414,002990.SZ,计算机设,盛视科技,38.28,10.0,1030704256.0,,5133171452.64,10023699842.64,20.35,6515256.0,94042,145536,12,1/1,1,U
20260414,600173.SH,房地产开发,卧龙新能,7.95,9.96,252933161.0,,5568309139.8,5569024608.0,4.68,110102730.0,111410,111410,0,1/1,1,U
20260414,600469.SH,汽车零部件,风神股份,7.25,10.02,219485331.0,,5288518814.75,6452752416.0,4.26,105885525.0,131407,131407,0,1/1,1,U
20260414,600539.SH,互联网电,狮头股份,15.95,10.0,411949712.0,,3668500000.0,3668500000.0,11.69,54257115.0,131114,131114,0,1/1,1,U
20260414,600605.SH,一般零售,汇通能源,29.39,9.99,71518931.0,,6062640588.31,6062640588.31,1.19,68031972.0,93053,93053,0,1/1,1,U
20260414,600664.SH,化学制药,哈药股份,4.04,10.08,992073120.0,,10174779899.04,10174779882.88,10.19,91483650.0,144104,144104,0,1/1,1,U
20260414,600855.SH,军工电子,航天长峰,19.23,10.01,703066896.0,,8992711969.44,9010076813.28,8.08,53261138.0,111732,111732,0,1/1,1,U
20260414,601588.SH,房地产开发,北辰实业,2.07,10.11,318952048.0,,5506200000.0,6969731400.0,5.93,31656303.0,93441,95256,3,1/1,1,U
20260414,601778.SH,电力,晶科科技,6.03,10.04,3291803936.0,,21542716132.2,21542716156.32,15.63,137576252.0,102651,132703,2,1/1,1,U
20260414,603002.SH,电子化学,宏昌电子,12.86,10.01,777560976.0,,14584249625.74,14584249664.32,5.42,146649884.0,93634,132740,1,1/1,1,U
20260414,603026.SH,电池,石大胜华,98.52,10.0,1400848192.0,,22925703899.28,22925703899.28,6.16,121386492.0,93410,93710,1,2/3,1,U
20260414,603061.SH,半导体,金海通,338.14,10.0,807857248.0,,20288400000.0,20288400000.0,4.12,46528064.0,112150,112150,0,1/1,1,U
20260414,603109.SH,通用设备,神驰机电,23.43,10.0,196462205.0,,4893317074.8,4893317074.8,4.22,53746077.0,142822,142822,0,1/1,1,U
20260414,603139.SH,中药Ⅱ,康惠股份,28.47,10.01,187712543.0,,2843583600.0,2843583600.0,6.8,9022143.0,133110,133110,0,1/1,1,U
20260414,603171.SH,IT服务Ⅱ,税友股份,54.78,10.0,342458112.0,,22234654200.0,22259579538.24,1.58,131123160.0,95114,95114,0,1/1,1,U
20260414,603269.SH,通用设备,海鸥股份,16.01,10.03,444557600.0,,4943115805.68,4943115933.76,9.35,36769846.0,111145,111145,0,1/1,1,U
20260414,603383.SH,软件开发,顶点软件,31.94,9.99,301632384.0,,6559720906.46,6559807144.46,4.74,198518470.0,103033,103033,0,1/1,1,U
20260414,603527.SH,工业金属,众源新材,11.9,9.98,275723520.0,,3771957280.0,3771957280.0,7.47,80007662.0,100654,100654,0,1/1,1,U
20260414,603585.SH,农化制品,苏利股份,26.4,10.0,445251232.0,,4899337080.0,5009029080.0,9.18,10876800.0,93158,94113,6,1/1,1,U
20260414,603629.SH,消费电子,利通电子,79.95,10.0,2495339968.0,,20535317400.0,20972484000.0,12.47,121379850.0,95001,95646,1,1/1,1,U
20260414,603698.SH,专用设备,航天工程,35.94,10.01,1424925312.0,,19263480600.0,19263480600.0,7.74,143210585.0,141711,141711,0,1/1,1,U
20260414,605167.SH,专业工程,利柏特,19.64,10.03,165020172.0,,8820310330.56,8820310487.68,1.93,128993556.0,130608,130608,0,1/1,1,U
