trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit
20260410,000402.SZ,房地产开发,金融街,2.78,9.88,173696280.0,,8308494738.16,8309225133.12,2.1,20568636.0,93106,93215,1,1/1,1,U
20260410,000534.SZ,生物制品,万泽股份,45.68,9.99,990386816.0,,22838648602.88,23276176028.16,4.42,105011970.0,94457,94457,0,2/3,1,U
20260410,000626.SZ,物流,远大控股,8.61,9.96,83226843.0,,4336999245.81,4362057299.04,1.92,32381349.0,92500,92500,0,1/1,1,U
20260410,000659.SZ,包装印刷,珠海中富,4.3,9.97,274092240.0,,5528520836.0,5528520870.4,5.15,37328730.0,110457,110457,0,1/1,1,U
20260410,000670.SZ,其他电子,盈方微,8.15,9.99,641425712.0,,6698182268.25,6884510771.2,9.64,55563391.0,93133,93403,2,1/1,1,U
20260410,000762.SZ,能源金属,西藏矿业,33.88,10.0,2736875248.0,,17644724937.84,17645356122.24,15.88,5471620.0,100903,145539,8,1/1,1,U
20260410,001211.SZ,家居用品,双枪科技,30.68,10.0,334646896.0,,2055454921.0,2208960000.0,16.62,88266360.0,110115,135445,1,1/1,1,U
20260410,001269.SZ,光伏设备,欧晶科技,23.18,10.01,104364174.0,,4460109905.02,4460109905.02,2.34,70551505.0,92500,93709,1,1/1,1,U
20260410,001299.SZ,燃气Ⅱ,美能能源,15.32,9.98,209264568.0,,3345886759.08,3717223443.92,6.47,140331200.0,104906,104906,0,1/1,1,U
20260410,001309.SZ,半导体,德明利,447.24,10.0,10190105344.0,,71950152722.16,101454452083.92,14.44,57659969.0,133706,144739,7,1/1,1,U
20260410,002074.SZ,电池,国轩高科,38.81,10.01,4036248576.0,,67381626034.94,70405756888.48,6.04,171517573.0,93636,131536,5,1/1,1,U
20260410,002177.SZ,计算机设,御银股份,8.16,9.97,1198983872.0,,5507338738.08,6211320975.36,22.38,75380864.0,131621,145151,3,1/1,1,U
20260410,002263.SZ,塑料,大东南,4.9,10.11,2022847904.0,,9203890990.0,9203964470.4,22.43,83020548.0,93754,130518,2,1/1,1,U
20260410,002363.SZ,汽车零部件,隆基机械,8.67,10.03,244647004.0,,3604623307.89,3614482216.32,7.0,41750211.0,140530,140530,0,1/1,1,U
20260410,002418.SZ,家电零部,康盛股份,5.69,10.06,804701136.0,,6466100853.22,6466116000.0,12.65,84812864.0,93648,145451,1,1/1,1,U
20260410,002733.SZ,电池,雄韬股份,30.25,10.0,1238746016.0,,11158098459.75,11622501088.0,11.56,114925800.0,140015,140015,0,1/1,1,U
20260410,002787.SZ,包装印刷,华源控股,13.78,9.98,534978624.0,,3456852370.92,4618733437.76,15.64,15543840.0,93900,145439,5,1/1,1,U
20260410,002950.SZ,医疗器械,奥美医疗,13.56,9.98,371480528.0,,6129055034.04,8587078932.48,6.13,31361066.0,93709,111248,1,1/1,1,U
20260410,002988.SZ,工业金属,豪美新材,35.38,10.01,343851120.0,,8836941426.64,8836941426.64,3.99,50059162.0,103512,103512,0,1/1,1,U
20260410,003036.SZ,专用设备,泰坦股份,26.48,10.01,227958163.0,,5727054309.28,5727201273.28,4.14,46202251.0,95651,95651,0,1/1,1,U
20260410,600103.SH,造纸,青山纸业,3.91,10.14,360035488.0,,8650206573.77,8761632600.32,4.16,186847224.0,92500,92500,0,1/1,1,U
20260410,600105.SH,通信设备,永鼎股份,38.1,9.99,8424382720.0,,55702001956.2,55702001880.0,15.95,219931335.0,130347,132854,4,2/3,1,U
